ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Cage,MiceName,Date,AgeMonths,diff,DateEnd
29-1_5-20,-0.057334267,0.18460648,-0.25304613,-0.029144317,-0.068316534,-0.026825689,-0.05495611,-0.040637553,0.006699957,-0.19688818,Agf29,29-1,2020-05-01,4,420,2021-07-01
41-0_7-20,-0.16601278,0.14888845,-0.038013652,-0.093809925,-0.10263326,-0.17170537,-0.018083042,-0.19827347,-0.017485373,0.05656571,Agf41,41-0,2020-07-01,4,420,2021-09-01
38-2_7-20,-0.15956368,0.34252724,-0.111823745,0.0037472956,-0.28805235,-0.13424964,0.023829445,0.013925374,0.065896735,-0.14052603,Agf38,38-2,2020-07-01,4,420,2021-09-01
32-1_7-20,0.12554614,0.18581782,0.07655874,0.31350616,-0.28478855,-0.38499385,0.22243163,-0.18785885,0.20016561,0.03775725,Agf32,32-1,2020-07-01,4,420,2021-09-01
42-1_5-20,0.054435305,0.13406238,0.0471081,0.07795024,0.028790314,-0.13106851,0.1969044,-0.20794867,0.01770538,0.107225515,Agf42,42-1,2020-05-01,2,480,2021-09-01
24-1_5-20,-0.050117813,0.32219964,-0.047489338,0.035845995,-0.26441446,-0.05203215,0.117129415,0.021455452,0.10920228,-0.07794314,Agf24,24-1,2020-05-01,4,420,2021-07-01
33-0_5-20,-0.08095646,0.14582448,-0.098022155,-0.071697764,-0.18525407,-0.013338238,0.069027,-0.0257684,0.01016555,-0.125011,Agf33,33-0,2020-05-01,2,480,2021-09-01
46-0_5-20,0.0034218002,0.07055099,-0.0828272,-0.008898128,-0.069684364,0.025671214,0.009191264,-0.19042218,-0.1752454,-0.04602973,Agf46,46-0,2020-05-01,2,480,2021-09-01
41-0_5-20,-0.25438124,0.27740663,-0.13938516,-0.09236201,-0.13198318,-0.15765604,-0.15933579,-0.11196862,-0.059397977,0.015243273,Agf41,41-0,2020-05-01,2,480,2021-09-01
35-1_5-20,0.11623207,0.17526093,0.062485993,0.013274299,-0.08836745,-0.19701529,0.27503714,-0.19928384,0.23835938,0.015483565,Agf35,35-1,2020-05-01,2,480,2021-09-01
31-2_7-20,0.08283655,0.2081507,0.017313734,0.17000955,-0.22594021,-0.3042637,0.09809553,-0.11371259,0.14473438,-0.046941586,Agf31,31-2,2020-07-01,4,420,2021-09-01
37-1_7-20,-0.022379419,0.17918654,0.1588078,-0.03247135,-0.31286824,-0.19818103,0.19924474,-0.052641615,0.11031747,0.09479089,Agf37,37-1,2020-07-01,4,420,2021-09-01
27-0_5-20,-0.23123129,0.26626348,-0.30905676,-0.10480971,-0.13593918,-0.047023907,-0.19092728,-0.044114813,-0.082299784,-0.11973735,Agf27,27-0,2020-05-01,4,420,2021-07-01
30-1_5-20,0.13032512,0.096468985,-0.11257909,0.25388727,-0.12840147,-0.08819173,0.2049042,0.026350409,0.1252736,-0.20060727,Agf30,30-1,2020-05-01,2,480,2021-09-01
34-1_7-20,0.011762744,0.09051496,0.097211435,0.06439348,-0.2158961,-0.19262666,0.268348,-0.23619416,0.1757241,0.08945925,Agf34,34-1,2020-07-01,4,420,2021-09-01
23-1_5-20,-0.015151544,0.082756445,-0.0045457184,0.064687,-0.26846632,-0.13408913,-0.009595219,-0.09976564,-0.24073829,0.022715732,Agf23,23-1,2020-05-01,4,420,2021-07-01
44-0_5-20,-0.0012285393,0.17999423,0.0028837472,0.14097945,-0.1592327,-0.24443293,0.14492291,-0.15831597,0.06884949,0.02632905,Agf44,44-0,2020-05-01,2,480,2021-09-01
15-1_5-20,-0.073377155,0.15762453,0.007487178,0.028719328,-0.33104742,-0.07234884,0.09583096,-0.14632212,-0.052352995,-0.03572262,Agf15,15-1,2020-05-01,4,420,2021-07-01
20-0_5-20,0.16364786,0.13603169,0.1131735,0.1956191,-0.08124202,-0.25857553,0.32816678,-0.2278614,0.16660626,0.11281817,Agf20,20-0,2020-05-01,4,420,2021-07-01
33-0_7-20,-0.044098876,0.22559398,-0.025157347,0.073921144,-0.09056461,-0.23252565,0.1109026,-0.022458449,0.13518634,-0.033703245,Agf33,33-0,2020-07-01,4,420,2021-09-01
40-2_5-20,-0.00049547665,0.10892658,-0.030363753,0.094695866,-0.13149053,-0.12576944,0.10087707,-0.16113557,-0.04839181,-0.020416591,Agf40,40-2,2020-05-01,2,480,2021-09-01
46-0_7-20,-0.31618297,0.31790912,-0.24606127,-0.17623642,-0.0034083314,-0.17310359,-0.16310026,0.004809156,0.029643312,-0.08728581,Agf46,46-0,2020-07-01,4,420,2021-09-01
35-0_7-20,0.0060819257,0.11419134,0.05763334,0.19829988,-0.3042425,-0.14103995,0.23657826,-0.11517916,-0.006851606,-0.022123365,Agf35,35-0,2020-07-01,4,420,2021-09-01
30-1_7-20,-0.28172415,0.25595278,-0.13833624,-0.14054063,-0.081577115,-0.17311223,-0.08775621,-0.06760637,-0.0002265498,-0.022366587,Agf30,30-1,2020-07-01,4,420,2021-09-01
38-2_5-20,-0.15490855,0.1560376,-0.25228214,0.033341464,-0.26690468,-0.07853845,-0.024906492,-0.012111366,-0.00037301332,-0.24805942,Agf38,38-2,2020-05-01,2,480,2021-09-01
43-0_5-20,0.097061366,0.12048605,0.102827415,0.14456609,-0.20049097,-0.12677133,0.21377829,-0.23542458,-0.113849185,0.06571968,Agf43,43-0,2020-05-01,2,480,2021-09-01
44-1_7-20,0.026232028,0.049564995,-0.009408221,0.18604323,-0.13609949,-0.25006226,0.20916684,-0.20011412,0.15208603,0.038400047,Agf44,44-1,2020-07-01,4,420,2021-09-01
22-1_5-20,-0.022255914,0.14969037,-0.048291735,-0.021589715,-0.1557612,0.011354551,0.10631702,-0.09224976,-0.027232654,-0.044753104,Agf22,22-1,2020-05-01,4,420,2021-07-01
32-0_7-20,0.0058291946,0.2428484,0.09417634,0.27413508,-0.25766227,-0.27510637,0.15976818,-0.08486689,0.029845938,-0.017137716,Agf32,32-0,2020-07-01,4,420,2021-09-01
