ID,m,Cage,MiceName,Date,AgeMonths,diff,DateEnd
14-0_5-20,-0.774506182,Agf14,14-0,01/05/2020,4,420,01/07/2021
14-2_5-20,-0.774506182,Agf14,14-Feb,01/05/2020,4,420,01/07/2021
15-1_5-20,-0.774506182,Agf15,15-Jan,01/05/2020,4,420,01/07/2021
18-1_5-20,-0.774506182,Agf18,18-Jan,01/05/2020,4,420,01/07/2021
18-2_5-20,0.872224204,Agf18,18-Feb,01/05/2020,4,420,01/07/2021
20-0_5-20,-0.774506182,Agf20,20-0,01/05/2020,4,420,01/07/2021
21-2_5-20,0.381841019,Agf21,21-Feb,01/05/2020,4,420,01/07/2021
22-0_5-20,0.761209788,Agf22,22-0,01/05/2020,4,420,01/07/2021
22-1_5-20,1.033929872,Agf22,22-Jan,01/05/2020,4,420,01/07/2021
23-0_5-20,-0.774506182,Agf23,23-0,01/05/2020,4,420,01/07/2021
23-1_5-20,-0.774506182,Agf23,23-Jan,01/05/2020,4,420,01/07/2021
23-2_5-20,-0.774506182,Agf23,23-Feb,01/05/2020,4,420,01/07/2021
24-1_5-20,0.903708601,Agf24,24-Jan,01/05/2020,4,420,01/07/2021
25-0_5-20,-0.774506182,Agf25,25-0,01/05/2020,4,420,01/07/2021
27-0_5-20,-0.774506182,Agf27,27-0,01/05/2020,4,420,01/07/2021
28-0_5-20,0.667450656,Agf28,28-0,01/05/2020,4,420,01/07/2021
29-0_5-20,-0.774506182,Agf29,29-0,01/05/2020,4,420,01/07/2021
29-1_5-20,-0.774506182,Agf29,29-Jan,01/05/2020,4,420,01/07/2021
30-1_5-20,-0.774506182,Agf30,30-Jan,01/05/2020,2,480,01/09/2021
30-1_7-20,-0.774506182,Agf30,30-Jan,01/07/2020,4,420,01/09/2021
31-2_5-20,-0.774506182,Agf31,31-2,01/05/2020,2,480,01/09/2021
31-2_7-20,1.096677426,Agf31,31-2,01/07/2020,4,420,01/09/2021
32-0_5-20,-0.774506182,Agf32,32-0,01/05/2020,2,480,01/09/2021
32-0_7-20,1.296147269,Agf32,32-0,01/07/2020,4,420,01/09/2021
32-1_7-20,0.716855512,Agf32,32-1,01/07/2020,4,420,01/09/2021
32-2_5-20,0.547713113,Agf32,32-2,01/05/2020,2,480,01/09/2021
33-0_5-20,1.010823653,Agf33,33-0,01/05/2020,2,480,01/09/2021
33-0_7-20,-0.774506182,Agf33,33-0,01/07/2020,4,420,01/09/2021
34-1_7-20,1.35367761,Agf34,34-1,01/07/2020,4,420,01/09/2021
35-0_7-20,1.010823653,Agf35,35-0,01/07/2020,4,420,01/09/2021
35-1_5-20,0.472648433,Agf35,35-1,01/05/2020,2,480,01/09/2021
37-1_7-20,0.986418667,Agf37,37-1,01/07/2020,4,420,01/09/2021
38-2_5-20,1.569886092,Agf38,38-2,01/05/2020,2,480,01/09/2021
38-2_7-20,0.761209788,Agf38,38-2,01/07/2020,4,420,01/09/2021
39-0_7-20,0.266886503,Agf39,39-0,01/07/2020,4,420,01/09/2021
40-1_5-20,0.266886503,Agf40,40-1,01/05/2020,2,480,01/09/2021
40-2_5-20,-0.774506182,Agf40,40-2,01/05/2020,2,480,01/09/2021
40-2_7-20,-0.774506182,Agf40,40-2,01/07/2020,4,420,01/09/2021
41-0_5-20,-0.774506182,Agf41,41-0,01/05/2020,2,480,01/09/2021
41-0_7-20,-0.774506182,Agf41,41-0,01/07/2020,4,420,01/09/2021
42-1_5-20,-0.774506182,Agf42,42-1,01/05/2020,2,480,01/09/2021
42-1_7-20,0.761209788,Agf42,42-1,01/07/2020,4,420,01/09/2021
43-0_5-20,-0.774506182,Agf43,43-0,01/05/2020,2,480,01/09/2021
43-0_7-20,0.933063994,Agf43,43-0,01/07/2020,4,420,01/09/2021
43-1_7-20,1.055868601,Agf43,43-1,01/07/2020,4,420,01/09/2021
44-0_5-20,-0.774506182,Agf44,44-0,01/05/2020,2,480,01/09/2021
44-1_7-20,0.611695423,Agf44,44-1,01/07/2020,4,420,01/09/2021
45-2_7-20,0.838277675,Agf45,45-2,01/07/2020,4,420,01/09/2021
46-0_5-20,-0.774506182,Agf46,46-0,01/05/2020,2,480,01/09/2021
46-0_7-20,-0.774506182,Agf46,46-0,01/07/2020,4,420,01/09/2021
