ID,m,Cage,MiceName,Date,AgeMonths,DeathDate,diff
14-1_5-20,-0.774506182,Agf14,14-Jan,01/05/2020,4,01/05/2021,390
20-1_5-20,-0.774506182,Agf20,20-Jan,01/05/2020,4,01/01/2020,240
21-1_5-20,0.761209788,Agf21,21-Jan,01/05/2020,4,01/04/2021,330
24-0_5-20,0.266886503,Agf24,24-0,01/05/2020,4,01/05/2021,390
24-2_5-20,-0.774506182,Agf24,24-Feb,01/05/2020,4,01/05/2021,390
29-2_5-20,0.761209788,Agf29,29-2,01/05/2020,4,01/05/2021,330
30-0_5-20,-0.774506182,Agf30,30-0,01/05/2020,2,01/05/2021,390
30-2_7-20,-0.774506182,Agf30,30-2,01/07/2020,4,01/05/2021,330
31-1_5-20,-0.774506182,Agf31,31-Jan,01/05/2020,2,01/05/2021,360
33-1_7-20,1.38486046,Agf33,33-1,01/07/2020,4,01/07/2021,390
34-0_5-20,1.033929872,Agf34,34-0,01/05/2020,2,01/05/2021,330
34-0_7-20,1.096677426,Agf34,34-0,01/07/2020,4,01/05/2021,270
35-2_7-20,0.986418667,Agf35,35-2,01/07/2020,4,01/03/2021,240
36-2_7-20,-0.774506182,Agf36,36-2,01/07/2020,4,01/07/2021,390
37-0_7-20,0.872224204,Agf37,37-0,01/07/2020,4,01/01/2021,180
37-2_7-20,0.266886503,Agf37,37-2,01/07/2020,4,01/05/2021,270
40-0_5-20,-0.774506182,Agf40,40-0,01/05/2020,2,01/05/2021,390
41-1_5-20,-0.774506182,Agf41,41-1,01/05/2020,2,01/06/2021,420
41-1_7-20,-0.774506182,Agf41,41-1,01/07/2020,4,01/06/2021,360
45-0_5-20,0.381841019,Agf45,45-0,01/05/2020,2,01/03/2021,300
45-0_7-20,-0.774506182,Agf45,45-0,01/07/2020,4,01/03/2021,240
47-1_7-20,0.667450656,Agf47,47-1,01/07/2020,4,01/05/2021,270
