ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
29-1_5-20,0.23006779,-0.083286524,-0.1321257,0.155289,-0.07300676,0.04072465,-0.045170873,-0.14145106,-0.13122422,-0.05129855
41-0_7-20,0.005599417,-0.2462666,-0.09287045,0.014357448,-0.03673572,0.053472783,-0.2702449,-0.18461971,-0.4662213,-0.020577554
38-2_7-20,-0.014062889,-0.2598603,-0.09744102,0.09156666,-0.15553011,0.027698858,-0.024712577,-0.01688537,-0.31364712,-0.03072076
32-1_7-20,0.08835216,-0.10852428,-0.06297228,0.043001946,-0.19877918,-0.07416734,0.09643696,-0.12060429,-0.092392385,-0.14770865
34-0_7-20,-0.10920777,-0.07553269,-0.07496848,0.10178956,-0.06788865,0.21631154,-0.070514396,-0.27318358,-0.29240906,-0.26816377
42-1_5-20,-0.06985367,-0.12043801,-0.021785295,0.124713704,-0.18685648,-0.038760584,0.035093307,-0.117975906,-0.22792959,-0.18127486
24-1_5-20,0.24680853,0.013592117,-0.1407399,0.13008365,0.043838367,0.19320372,-0.053715594,-0.12423533,-0.30238783,-0.015295114
33-0_5-20,0.33856753,-0.035486877,-0.16869175,0.12768495,-0.02762273,0.097433284,-0.0067545995,-0.12678668,-0.3336606,0.03652651
36-2_7-20,0.39728746,-0.12654811,-0.20315945,0.10286451,-0.0981435,-0.055224944,-0.027497053,-0.25573394,-0.32984775,0.035367586
46-0_5-20,0.2183578,-0.2413395,-0.29155722,0.18067244,-0.115715854,-0.013153721,-0.032218985,-0.18459141,-0.1390058,-0.088200584
20-1_5-20,0.08339688,-0.0515124,0.011640724,0.111142054,-0.19639488,-0.03125501,-0.010488145,-0.18769754,-0.24705946,-0.12389025
41-0_5-20,0.15411666,-0.08925064,-0.033089608,0.06982676,0.02554015,0.017055023,-0.05764974,-0.102267034,-0.31611696,0.0001597628
35-1_5-20,-0.00275293,-0.10966843,-0.047466554,0.115672715,-0.09030419,0.0849427,-0.14075014,-0.19277015,-0.24240819,-0.1586954
31-2_7-20,0.19672513,-0.07256666,-0.05454481,0.024922691,0.072001725,0.15356393,-0.063874684,-0.25213236,-0.35813934,-0.1428916
37-1_7-20,0.05877839,-0.07438068,0.025938619,0.075402685,-0.21889232,-0.067484036,0.104855806,-0.017672613,-0.23794295,-0.058396276
47-1_7-20,0.5247032,-0.27855247,-0.22175322,0.14375538,0.14717925,0.0036870614,0.026838848,-0.10826646,-0.1904326,0.09759452
27-0_5-20,0.24424702,-0.11215469,-0.13853642,0.06289215,-0.048927087,-0.043466542,-0.06710341,-0.14599665,-0.19569287,-0.012042172
41-1_7-20,-0.03974507,-0.0747267,-0.014335167,0.09198169,0.01261916,0.1451281,-0.06561163,-0.13652584,-0.27234522,-0.13842557
30-1_5-20,0.17808405,-0.11384353,-0.032968566,0.11867197,-0.10651643,0.057624213,0.053506546,-0.1521196,-0.1947342,-0.083588175
34-1_7-20,0.19137293,-0.032074556,-0.023658073,0.05105958,-0.032531217,0.23308301,0.02557103,-0.18641654,-0.3260231,-0.09706281
23-1_5-20,-0.01978717,-0.23917595,-0.12583348,0.17380941,-0.1059168,0.087134495,-0.29442328,-0.25805914,-0.2489443,-0.082623385
44-0_5-20,0.18651581,-0.11876165,-0.03684662,0.093687266,-0.07365717,-4.4655055e-05,0.07245568,-0.113159,-0.2442737,-0.09094077
15-1_5-20,0.04524771,-0.21550797,-0.14117585,0.08842425,-0.029250711,0.11909968,-0.22189263,-0.1658662,-0.30556536,-0.040126104
24-2_5-20,0.26269582,-0.07049974,-0.15258394,0.11489977,-0.20136905,-0.052757505,-0.12256156,-0.10470928,-0.10633348,0.025468357
34-0_5-20,-0.0376805,-0.08516136,-0.029811546,-0.015026353,-0.03373217,0.1669076,-0.1243418,-0.18448871,-0.3333127,-0.15795797
21-1_5-20,0.22940442,-0.14851409,-0.25307703,0.082606785,-0.07557297,-0.0013178848,-0.0056136027,-0.19700421,-0.2459066,-0.0069863945
41-1_5-20,0.09380133,-0.053439803,-0.085795596,0.06609014,-0.08142371,0.05773197,-0.08058199,-0.17933722,-0.2738974,-0.08739698
20-0_5-20,0.1596691,-0.1161893,-0.046856888,0.010900803,-0.24476993,-0.16961494,-0.017262846,-0.13545002,-0.22390541,-0.05740933
33-0_7-20,0.32049835,-0.285768,-0.11724442,0.09084564,-0.09005915,0.00090188906,0.0749141,-0.17554756,-0.35669762,0.113286726
45-0_5-20,0.36771315,-0.24555603,-0.3731331,0.114621155,-0.033350065,-0.07883842,0.07260516,-0.10806571,-0.1760048,0.040211372
40-2_5-20,0.24161264,-0.10862099,-0.13749282,0.14387552,-0.041782103,0.07425409,-0.054525726,-0.18535678,-0.2320557,-0.03471254
46-0_7-20,0.10196175,-0.12254866,0.0048575215,0.14328824,-0.06581094,-0.12933682,-0.10443315,-0.120555155,-0.35243225,0.0068985075
