ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
29-1_5-20,-0.09564374,0.17116567,-0.013936635,0.11156606,0.04794921,-0.34730136,-0.1859839,-0.14945878,0.09279299,0.20399602
41-0_7-20,-0.14837648,0.10171902,0.059342854,0.12330598,0.08084076,-0.41022733,-0.039981805,0.09536075,-0.048233658,-0.038305186
38-2_7-20,0.108619586,0.17769,-0.09282285,-0.088687316,-0.018706067,-0.23707327,-0.22053611,-0.21824032,0.065136835,0.15795816
32-1_7-20,0.09256844,0.34801316,-0.14658704,0.09158751,-0.1043532,-0.3275213,-0.22093388,-0.14369887,0.060081586,0.2232403
34-0_7-20,0.13147701,0.12479865,-0.09424436,-0.054477334,-0.09943681,-0.13717216,-0.1938127,-0.25300094,0.14485593,0.14185631
42-1_5-20,0.03598215,0.10860148,-0.07303217,0.04586578,0.08741797,-0.24796203,-0.23114923,-0.4386061,0.12187341,0.2706421
24-1_5-20,-0.123985976,0.07748048,-0.030384503,-0.08425382,0.048845343,-0.29898795,-0.053747334,-0.24197948,0.22361442,0.11333729
33-0_5-20,-0.03931644,0.284435,-0.036043998,0.13633642,0.04707761,-0.3474493,-0.18533194,-0.15465057,0.07714777,0.25893316
36-2_7-20,-0.041813325,0.12526673,0.08546478,0.1665899,0.23666634,-0.25707066,-0.22470391,-0.062466744,0.07831411,0.09065466
46-0_5-20,-0.089457765,0.26412395,-0.07470279,0.0956597,-0.0004801359,-0.35151538,-0.13524826,-0.27010143,0.07742899,0.2865651
20-1_5-20,0.0694284,0.287064,-0.04840994,0.19312172,0.0327005,-0.16563189,-0.14487071,-0.14086968,0.19623965,0.2059468
41-0_5-20,0.0037850812,0.13728322,0.016360879,0.15684658,0.066190206,-0.27416772,-0.2072764,0.012080856,-0.0008916408,0.03368443
35-1_5-20,0.040418174,0.012776859,-0.06454151,0.095084935,0.14256927,-0.22401623,-0.2909626,-0.40464553,0.06617264,0.16246083
31-2_7-20,-0.03973669,0.28065592,-0.047162123,0.28502303,0.07761914,-0.27936095,-0.009778291,0.15927252,0.15800555,0.008144479
37-1_7-20,-0.19942105,0.3096586,0.08794499,0.12176318,0.047690913,-0.17287324,-0.25482848,-0.034314796,0.20903882,-0.014896145
