ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
14-0_5-20,-0.024236701,0.014814116,0.014975652,0.16241306,0.118829064,-0.26962495,-0.19297332,-0.23201072,0.08712649,0.12078439
14-0_7-20,-0.14124937,0.22033995,0.0016435608,0.16102122,0.01695995,-0.31804526,-0.22280383,-0.056834884,0.0036729574,0.077709585
14-1_5-20,-0.095670715,0.11016594,-0.042858038,0.058030486,0.01706838,-0.33530942,-0.11589997,-0.15248662,0.04559108,0.15970045
14-1_7-20,-0.1684055,0.099592015,0.0960468,0.14769891,0.11962152,-0.3024909,-0.23751304,-0.1446894,0.019197814,0.037457053
14-2_5-20,-0.09475459,0.13098669,-0.002727002,0.079746716,0.09526923,-0.2059778,-0.16730419,-0.30804312,0.17075518,0.22761883
14-2_7-20,0.06574136,0.27514157,-0.28171182,0.122814715,0.01672572,-0.08527553,-0.26295295,-0.4945643,0.24533318,0.29862452
15-0_5-20,0.18168017,0.43978205,-0.45369712,0.054676473,-0.24491192,-0.06761321,-0.16205095,-0.5687711,0.24316731,0.37447858
15-0_7-20,-0.12338118,0.039573424,0.036884807,-0.045880854,-0.053264,-0.424965,-0.089842066,-0.12956561,0.06662214,0.04061504
15-1_5-20,0.008798551,0.16119704,0.011010334,-0.052228615,-0.08010655,-0.3816471,-0.16851395,-0.089971475,-0.0316803,0.16578843
15-1_7-20,-0.10886497,0.11043769,0.045830786,0.05710277,0.021342084,-0.3418529,-0.19697529,-0.080451325,0.03394816,0.0952196
16-0_7-20,-0.034091562,0.062115625,0.004402429,0.05737202,0.073816955,-0.25138834,-0.18218985,-0.25184417,0.05055865,0.11883162
16-1_5-20,0.053550962,0.38392013,-0.23771185,0.054601952,-0.20986442,-0.29467404,-0.27244097,-0.25920486,0.14493187,0.29951218
16-1_7-20,9.1426075e-05,0.18392172,0.055202544,-0.06117539,-0.018713426,-0.333511,-0.1662129,-0.053510204,0.021035075,0.15715986
16-2_5-20,-0.0352806,0.27807376,-0.12352194,-0.016706288,-0.14072044,-0.32710528,-0.1367267,-0.15029132,0.02108863,0.2069429
16-2_7-20,-0.039532468,0.092554174,0.095071815,0.05497703,0.12780672,-0.27862364,-0.17452143,-0.11350744,0.07866621,0.16017291
18-0_5-20,-0.10284987,0.31387892,-0.089207426,0.102398336,-0.06174016,-0.28155094,-0.12638982,0.07730838,0.079999864,0.058060277
18-0_7-20,-0.1941614,0.29883838,-0.06846963,0.26436418,0.068379246,-0.31492937,-0.022958651,0.09445094,0.114502445,0.032172482
