ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
29-1_5-20,0.004797645,0.01883813,-0.15564896,0.03392844,-0.14364785,0.13889346,0.015922591,0.041290667,0.24244882,0.1748524
41-0_7-20,0.21385662,-0.14733362,-0.120354675,-0.11642491,-0.08501738,0.18923782,0.109874316,0.097724766,0.015494943,0.16041943
38-2_7-20,0.10488643,-0.29935315,-0.16972534,-0.08005169,0.089703,-0.033088416,0.04689028,-0.024887376,0.13997921,0.07365392
32-1_7-20,0.044128183,-0.1959407,-0.08499199,0.0036533847,-0.032133795,0.035494298,0.079287514,0.022341065,0.24478571,0.06782646
34-0_7-20,0.27202523,-0.20399833,0.10139997,-0.15809768,0.26354668,-0.0011033714,0.14604095,0.20995477,0.1948979,0.03113819
42-1_5-20,0.014103651,-0.023240704,-0.18850061,0.014509551,0.065639004,0.0015798509,-0.0008766139,0.06539682,0.19144389,0.13669066
24-1_5-20,0.1545173,-0.08763915,-0.2413734,0.019301876,-0.17681795,0.2740009,0.026158798,-0.04086285,-0.010212328,0.24117962
33-0_5-20,0.056079865,-0.15176873,-0.22771749,0.19456734,-0.13767481,0.112816006,-0.017059285,-0.038687944,0.03473018,0.17311737
36-2_7-20,-0.031498715,-0.19391629,-0.23668014,0.23260422,-0.10580384,0.23366582,0.14400366,0.1080983,0.038968686,0.13226837
46-0_5-20,-0.0047014505,-0.02638951,-0.12182696,0.12279934,-0.05817408,-0.016805798,-0.005997431,0.027386695,0.12735914,0.20369309
20-1_5-20,0.07633497,-0.19625679,-0.10191807,-0.0024308562,-0.034183525,0.121891536,0.046713687,0.073644936,0.10598926,0.16523308
41-0_5-20,0.082289584,-0.1892831,-0.22142784,-0.013648216,-0.18097815,0.24769294,0.089795776,0.12107358,0.06730026,0.10323605
35-1_5-20,0.10452235,-0.134169,-0.13064235,-0.307575,0.11891302,0.1022691,0.08509324,0.027042225,0.053882595,0.28010648
31-2_7-20,0.18499517,-0.07030091,-0.0112923235,-0.0014254525,-0.033270426,0.12005294,0.047941595,0.14446747,0.15529068,0.017295122
37-1_7-20,0.14106233,-0.29930177,-0.25337934,0.050312728,-0.091396086,-0.022840694,-0.061395343,-0.0942739,0.17961138,-0.07669963
47-1_7-20,0.15597855,-0.0030953363,-0.14203249,0.02404648,-0.2709775,0.28646606,0.026155416,0.053274535,0.13561252,0.1915815
27-0_5-20,0.05846677,-0.06004059,-0.10815421,0.08787739,-0.21758121,0.21059503,-0.033714816,0.034797844,0.21933012,0.16340117
41-1_7-20,0.08554024,-0.16790754,0.035446018,0.07142165,0.043362737,-0.10797925,0.06630227,0.19702658,0.2456725,-0.03329149
30-1_5-20,0.062033307,-0.15515482,-0.15738727,0.0027136095,-0.15040258,0.2248136,0.03519972,-0.045556925,0.15009232,0.22232871
34-1_7-20,0.1905882,-0.14135155,-0.15748073,-0.06713338,-0.106494926,0.33250904,0.16008675,0.05508793,0.02720686,0.26026607
23-1_5-20,0.12759848,0.01394783,-0.11562362,0.010819726,-0.014138559,-0.056265876,0.024921749,0.0552864,0.107528016,0.17530909
44-0_5-20,0.118233666,-0.124296695,-0.121764526,0.015555866,-0.17657596,0.15645576,0.01915914,0.040435653,0.1796377,0.11623277
15-1_5-20,0.054127976,-0.16501328,-0.16792327,0.15706871,-0.017329147,0.09525539,0.061774448,0.021948248,0.03218907,0.14606616
24-2_5-20,0.108324856,0.12183129,-0.15404074,0.16691463,0.029855188,0.21743976,-0.021155354,0.03891843,0.22061028,0.12004643
34-0_5-20,0.14821848,-0.029759198,-0.057178475,-0.086846665,0.024864035,0.19529234,0.10154513,0.06524591,0.048510984,0.32502812
21-1_5-20,0.10273111,-0.1625913,-0.26726785,0.0038204566,-0.12097835,0.2091828,0.061025545,0.024566635,0.02156911,0.16699296
41-1_5-20,0.16883722,-0.17168489,-0.10348238,-0.2005308,-0.044950753,0.14553559,0.12795272,0.020172842,0.121776894,0.11758886
20-0_5-20,0.14141823,-0.07792203,0.06361736,0.098056346,-0.115600295,0.08434169,0.10836992,0.18207636,0.28336355,-0.002420336
33-0_7-20,-0.1308413,-0.12757602,-0.17398518,0.03864459,-0.06432217,0.20633441,0.069412306,0.08799426,0.24743895,0.12094757
45-0_5-20,0.1761909,-0.022522401,-0.17875636,0.08864197,-0.07499361,0.27195853,-0.010771777,0.050212514,0.17123304,0.08805618
40-2_5-20,0.13636778,-0.0036624335,-0.16108365,-0.023168355,-0.18839362,0.28274554,-0.027819471,-0.03674315,0.15712547,0.21919584
46-0_7-20,0.14336336,-0.13707843,-0.33197358,-0.23165485,-0.23908588,0.19773364,0.0506073,0.005656466,0.1785905,0.108704805
24-0_5-20,0.2375415,0.075501196,-0.14697361,0.07985023,-0.02698713,0.3379405,0.03520254,0.04427017,0.1655231,0.1291166
30-2_7-20,0.1755861,-0.123639345,0.023622036,-0.06239317,-0.09228115,0.10856557,0.11742354,0.11334436,0.25515005,0.08300097
35-0_7-20,0.10636645,-0.29341266,-0.11794269,0.045424633,-0.046293415,0.16195744,0.09810313,-0.016351245,0.09586714,0.12490688
30-1_7-20,0.1250318,-0.21055138,-0.11998962,-0.1844887,-0.04598535,0.27930248,0.2091811,0.24170631,0.14309956,0.027157873
38-2_5-20,0.17280793,-0.06731939,-0.22399011,-0.020440731,-0.17075764,0.42571837,0.001642759,-0.09808081,-0.08040056,0.39187557
30-0_5-20,-0.06433591,-0.06480694,-0.122024685,0.004307188,-0.066499546,0.09831755,0.020792449,0.042941365,0.2773912,0.1616524
43-0_5-20,0.14214385,-0.05441067,-0.04708805,-0.08664716,0.0125369495,0.114999734,0.07694237,0.07710734,0.30484772,0.056618497
