ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Cage,MiceName,Date,AgeMonths,diff,DateEnd
29-1_5-20,-0.18978515,0.08544117,-0.025206994,0.15510665,0.26286846,0.12711164,-0.06785609,-0.27193207,0.034217026,-0.12661254,Agf29,29-1,2020-05-01,4,420,2021-07-01
41-0_7-20,-0.18906607,0.11204605,0.023802765,0.050960343,0.18135332,0.037965957,-0.1333026,-0.1537704,-0.032130253,-0.06260603,Agf41,41-0,2020-07-01,4,420,2021-09-01
38-2_7-20,-0.16162486,-0.006850563,-0.075925864,0.1552305,0.29471636,-0.13070385,-0.05142325,-0.20514104,-0.14019659,-0.34653723,Agf38,38-2,2020-07-01,4,420,2021-09-01
32-1_7-20,-0.102502406,0.039007396,-0.12738247,-0.012767738,0.09203525,-0.013182471,-0.07148226,-0.041838482,-0.25866607,-0.16827267,Agf32,32-1,2020-07-01,4,420,2021-09-01
42-1_5-20,-0.13875987,0.034415066,-0.1414067,0.18408196,0.20700124,-0.0071126795,0.022289118,-0.10675644,-0.12443212,-0.2307576,Agf42,42-1,2020-05-01,2,480,2021-09-01
24-1_5-20,-0.19097677,-0.03999568,0.068116225,0.123318,0.2251389,0.0518767,0.04008874,-0.24510798,-0.1311976,-0.16161923,Agf24,24-1,2020-05-01,4,420,2021-07-01
33-0_5-20,-0.27749068,0.040962487,0.045601893,0.09864397,0.12776232,0.11914774,0.07476675,-0.15276262,-0.042279072,-0.29407674,Agf33,33-0,2020-05-01,2,480,2021-09-01
46-0_5-20,-0.08612014,-0.10660435,-0.16733539,0.312579,0.23223191,0.022057604,-0.06903734,-0.25756434,-0.15338397,-0.122899085,Agf46,46-0,2020-05-01,2,480,2021-09-01
41-0_5-20,-0.19441442,0.04456608,-0.014768963,-0.057453275,0.07271722,0.10258741,-0.15677905,-0.22061598,-0.15756205,-0.06520396,Agf41,41-0,2020-05-01,2,480,2021-09-01
35-1_5-20,-0.23006335,-0.12298961,0.092468925,0.017385714,0.17716345,0.13440834,0.014777631,-0.33323723,-0.3033321,-0.11221038,Agf35,35-1,2020-05-01,2,480,2021-09-01
31-2_7-20,-0.1530194,-0.05360469,0.24024539,-0.16573925,0.06928274,0.08106806,-0.16224912,-0.1784583,-0.225541,0.15436235,Agf31,31-2,2020-07-01,4,420,2021-09-01
37-1_7-20,-0.16785781,-0.09179374,0.07891989,0.032108266,0.24259655,-0.0050249174,-0.04696759,-0.33064422,-0.15402845,-0.22336587,Agf37,37-1,2020-07-01,4,420,2021-09-01
27-0_5-20,-0.08735675,0.09653926,0.032816876,0.19788778,0.13148162,0.09443025,-0.18717185,-0.15811083,0.077988,-0.03505884,Agf27,27-0,2020-05-01,4,420,2021-07-01
30-1_5-20,-0.15479715,-0.07592985,-0.046498694,0.16868114,0.1938331,0.059553914,-0.028754048,-0.21904704,-0.28407088,-0.08643619,Agf30,30-1,2020-05-01,2,480,2021-09-01
34-1_7-20,-0.2084388,0.16063364,0.10060706,-0.093422145,0.101830654,0.036587346,-0.037926205,-0.086662024,-0.06339739,-0.21644571,Agf34,34-1,2020-07-01,4,420,2021-09-01
23-1_5-20,-0.06284561,0.0594272,-0.22105913,0.34300548,0.24037012,-0.023132287,-0.24304137,-0.3275089,0.08033585,-0.228048,Agf23,23-1,2020-05-01,4,420,2021-07-01
44-0_5-20,-0.14050208,0.08701289,-0.048001416,0.088268995,0.12550059,0.03294775,-0.2072708,-0.13573328,-0.056779634,-0.046131082,Agf44,44-0,2020-05-01,2,480,2021-09-01
15-1_5-20,0.0028185826,-0.036540415,-0.072721496,0.26459572,0.20925617,0.0015947064,-0.22974673,-0.31855273,0.0090386905,-0.02877601,Agf15,15-1,2020-05-01,4,420,2021-07-01
20-0_5-20,-0.1687368,-0.022793397,-0.09957716,0.06931767,0.090351105,0.052917823,-0.106599994,-0.0422265,-0.20368612,-0.10216099,Agf20,20-0,2020-05-01,4,420,2021-07-01
33-0_7-20,-0.003884999,0.11336596,-0.079009235,0.097767845,0.1547427,-0.107451074,-0.17611855,0.07950129,-0.03787617,-0.039791003,Agf33,33-0,2020-07-01,4,420,2021-09-01
40-2_5-20,-0.15053345,0.08522537,-0.11597458,0.23442623,0.20795006,0.01995204,-0.094655894,-0.12755881,-0.04861113,-0.1965946,Agf40,40-2,2020-05-01,2,480,2021-09-01
46-0_7-20,-0.0929453,0.26497862,-0.008945338,0.14357962,0.30923358,-0.10681643,-0.20788026,-0.09826851,0.023825921,-0.13793024,Agf46,46-0,2020-07-01,4,420,2021-09-01
35-0_7-20,-0.24921227,-0.055666137,-0.062878445,0.049069125,0.0841597,0.056704752,-0.019235775,-0.027441181,-0.18513131,-0.28857166,Agf35,35-0,2020-07-01,4,420,2021-09-01
30-1_7-20,-0.11900939,0.14483139,-0.013506136,0.0023255162,0.1950081,-0.14320245,-0.19777513,0.03362395,-0.15285096,-0.1397582,Agf30,30-1,2020-07-01,4,420,2021-09-01
38-2_5-20,-0.3029458,0.1269734,0.030915663,0.04466894,0.19200572,0.041644376,0.10772403,-0.055231817,-0.067968726,-0.2967889,Agf38,38-2,2020-05-01,2,480,2021-09-01
43-0_5-20,-0.1926792,0.09681538,-0.121516444,0.14363915,0.17990364,0.12492777,-0.06502966,-0.083326735,0.010220189,-0.10300423,Agf43,43-0,2020-05-01,2,480,2021-09-01
44-1_7-20,-0.024236366,-0.14679553,-0.08577354,0.10755704,0.14660317,-0.036103245,-0.15849024,-0.003860943,-0.27716386,-0.100342035,Agf44,44-1,2020-07-01,4,420,2021-09-01
22-1_5-20,-0.19715402,0.101618975,0.011522565,0.15555458,0.15855673,0.10224717,-0.0030554794,-0.07799208,0.010989625,-0.20181978,Agf22,22-1,2020-05-01,4,420,2021-07-01
32-0_7-20,-0.046034314,0.2156708,0.004342678,0.18863393,0.32087836,-0.1717513,-0.13376662,-0.09078351,0.05306334,-0.23315287,Agf32,32-0,2020-07-01,4,420,2021-09-01
45-2_7-20,-0.16538909,-0.06392825,-0.16904794,0.19701566,0.15981331,-0.03145823,-0.06534266,-0.022047043,-0.21386498,-0.30624112,Agf45,45-2,2020-07-01,4,420,2021-09-01
43-1_7-20,-0.068079144,-0.015416384,-0.05416173,0.0635245,0.12728621,-0.01296899,-0.19187954,-0.13966471,-0.18590754,-0.03958652,Agf43,43-1,2020-07-01,4,420,2021-09-01
31-2_5-20,-0.1529654,0.03201721,-0.026366297,0.18944357,0.16652818,0.088421844,-0.12766796,-0.17060754,-0.0760078,-0.002300419,Agf31,31-2,2020-05-01,2,480,2021-09-01
40-1_5-20,-0.15647301,-0.15936539,0.079667054,0.07707599,0.14820719,0.17608923,-0.055481024,-0.27061197,-0.27282616,0.082227014,Agf40,40-1,2020-05-01,2,480,2021-09-01
29-0_5-20,-0.07178123,-0.07772276,-0.06274584,0.21159904,0.09329892,0.08726388,-0.13934296,0.0041010454,-0.111133285,-0.19423598,Agf29,29-0,2020-05-01,4,420,2021-07-01
14-2_5-20,-0.09638884,0.029570304,0.044996228,0.08400267,0.37372753,0.025276873,-0.062169164,-0.4197551,-0.15390155,-0.004030861,Agf14,14-2,2020-05-01,4,420,2021-07-01
28-0_5-20,-0.13085912,0.1049961,0.004011254,0.21954665,0.15896292,0.08048178,-0.16577163,-0.20188087,0.0933488,-0.1360001,Agf28,28-0,2020-05-01,4,420,2021-07-01
42-1_7-20,-0.2203065,0.044193268,0.018835317,0.0808962,0.16108494,-0.006475892,-0.11356602,-0.17174008,-0.11452277,-0.13654642,Agf42,42-1,2020-07-01,4,420,2021-09-01
23-2_5-20,0.0071062148,0.07804951,-0.18263856,0.32744488,0.14909753,0.05167707,-0.17062303,-0.16450427,0.13431004,-0.104088455,Agf23,23-2,2020-05-01,4,420,2021-07-01
18-1_5-20,-0.20707677,-0.15185608,0.06395497,-0.053201504,0.2150207,-0.01502496,-0.0514746,-0.319293,-0.29814944,-0.12229111,Agf18,18-1,2020-05-01,4,420,2021-07-01
43-0_7-20,-0.15518136,-0.052434657,-0.059741054,0.22279581,0.14755201,0.1093839,-0.08825477,-0.20553714,-0.030696608,-0.17664093,Agf43,43-0,2020-07-01,4,420,2021-09-01
25-0_5-20,-0.22233884,-0.01321204,-0.055326734,0.3365238,0.31907406,-0.03792226,-0.0013316758,-0.2811199,-0.036141183,-0.25780365,Agf25,25-0,2020-05-01,4,420,2021-07-01
14-0_5-20,-0.09497481,0.096147045,-0.17791766,0.27061328,0.14546111,0.073055215,-0.15348044,-0.14971426,0.07916166,-0.20400646,Agf14,14-0,2020-05-01,4,420,2021-07-01
39-0_7-20,-0.11243355,-0.13506949,-0.00745189,0.0595414,0.09492276,0.095807545,-0.13326061,-0.1854909,-0.22471607,-0.016965434,Agf39,39-0,2020-07-01,4,420,2021-09-01
22-0_5-20,-0.13796484,0.1223886,0.04189991,0.16041254,0.21772654,-0.048434813,-0.004891198,-0.06249724,0.014595792,-0.20457488,Agf22,22-0,2020-05-01,4,420,2021-07-01
32-2_5-20,-0.16352628,-0.018346608,-0.119267985,0.29916978,0.1527333,0.0713947,0.030419,-0.05645113,-0.11503146,-0.24026066,Agf32,32-2,2020-05-01,2,480,2021-09-01
23-0_5-20,-0.15976751,0.045926362,-0.06587691,0.32492945,0.13712327,0.113128506,-0.07638864,-0.086600766,0.16003382,-0.22429752,Agf23,23-0,2020-05-01,4,420,2021-07-01
40-2_7-20,-0.1746089,0.060939327,-0.16490138,0.100862145,0.25991878,0.029915616,-0.016737033,-0.064173624,-0.06334089,-0.12868653,Agf40,40-2,2020-07-01,4,420,2021-09-01
32-0_5-20,-0.2166858,-0.033276323,0.052281428,0.1175134,0.34524497,0.0444471,0.13972825,-0.28520468,-0.2349115,-0.1383894,Agf32,32-0,2020-05-01,2,480,2021-09-01
21-2_5-20,-0.15563805,0.02604907,-0.0059834863,0.1216217,0.24644779,-0.055550665,0.011779774,-0.14189845,-0.13628647,-0.24740636,Agf21,21-2,2020-05-01,4,420,2021-07-01
18-2_5-20,-0.064500324,-0.09236671,0.016145907,-0.17201678,0.062376723,-0.027819095,-0.12762737,-0.15193065,-0.101812765,-0.06588332,Agf18,18-2,2020-05-01,4,420,2021-07-01
