ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Cage,MiceName,Date,AgeMonths,DeathDate,diff
34-0_7-20,-0.10920777,-0.07553269,-0.07496848,0.10178956,-0.06788865,0.21631154,-0.070514396,-0.27318358,-0.29240906,-0.26816377,Agf34,34-0,2020-07-01,4,2021-05-01,270
36-2_7-20,0.39728746,-0.12654811,-0.20315945,0.10286451,-0.0981435,-0.055224944,-0.027497053,-0.25573394,-0.32984775,0.035367586,Agf36,36-2,2020-07-01,4,2021-07-01,390
20-1_5-20,0.08339688,-0.0515124,0.011640724,0.111142054,-0.19639488,-0.03125501,-0.010488145,-0.18769754,-0.24705946,-0.12389025,Agf20,20-1,2020-05-01,4,2020-01-01,240
47-1_7-20,0.5247032,-0.27855247,-0.22175322,0.14375538,0.14717925,0.0036870614,0.026838848,-0.10826646,-0.1904326,0.09759452,Agf47,47-1,2020-07-01,4,2021-05-01,270
41-1_7-20,-0.03974507,-0.0747267,-0.014335167,0.09198169,0.01261916,0.1451281,-0.06561163,-0.13652584,-0.27234522,-0.13842557,Agf41,41-1,2020-07-01,4,2021-06-01,360
24-2_5-20,0.26269582,-0.07049974,-0.15258394,0.11489977,-0.20136905,-0.052757505,-0.12256156,-0.10470928,-0.10633348,0.025468357,Agf24,24-2,2020-05-01,4,2021-05-01,390
34-0_5-20,-0.0376805,-0.08516136,-0.029811546,-0.015026353,-0.03373217,0.1669076,-0.1243418,-0.18448871,-0.3333127,-0.15795797,Agf34,34-0,2020-05-01,2,2021-05-01,330
21-1_5-20,0.22940442,-0.14851409,-0.25307703,0.082606785,-0.07557297,-0.0013178848,-0.0056136027,-0.19700421,-0.2459066,-0.0069863945,Agf21,21-1,2020-05-01,4,2021-04-01,330
41-1_5-20,0.09380133,-0.053439803,-0.085795596,0.06609014,-0.08142371,0.05773197,-0.08058199,-0.17933722,-0.2738974,-0.08739698,Agf41,41-1,2020-05-01,2,2021-06-01,420
45-0_5-20,0.36771315,-0.24555603,-0.3731331,0.114621155,-0.033350065,-0.07883842,0.07260516,-0.10806571,-0.1760048,0.040211372,Agf45,45-0,2020-05-01,2,2021-03-01,300
24-0_5-20,0.274197,-0.0384996,-0.23900212,0.081157744,0.06522904,0.185371,-0.090919614,-0.13085416,-0.34755793,-0.0058900192,Agf24,24-0,2020-05-01,4,2021-05-01,390
30-2_7-20,0.16910824,-0.13799548,-0.07405365,0.08629563,-0.08285397,-0.025203984,-0.0136862025,-0.1873321,-0.25445217,-0.060067207,Agf30,30-2,2020-07-01,4,2021-05-01,330
30-0_5-20,0.38454735,-0.13522768,-0.010995258,0.19561931,-0.22815107,-0.18722622,0.19721042,-0.096378416,-0.11785518,-0.009100221,Agf30,30-0,2020-05-01,2,2021-05-01,390
33-1_7-20,0.18163347,-0.014750011,-0.04004275,0.082018405,0.00036925822,0.1173704,0.050351862,-0.17529646,-0.2529108,-0.099995494,Agf33,33-1,2020-07-01,4,2021-07-01,390
35-2_7-20,0.2446366,-0.053622693,-0.05336115,-0.0033149421,-0.079364374,-0.015689578,0.11835237,-0.104604095,-0.1713299,-0.102131024,Agf35,35-2,2020-07-01,4,2021-03-01,240
45-0_7-20,0.14230107,-0.22398663,-0.16859658,0.09962681,0.042420156,0.13106646,-0.19125764,-0.15257542,-0.34325263,0.04249043,Agf45,45-0,2020-07-01,4,2021-03-01,240
14-1_5-20,-0.24631843,-0.36852446,-0.17911716,0.013584003,-0.08276076,0.13127042,-0.48224187,-0.19094878,-0.39581507,-0.06546482,Agf14,14-1,2020-05-01,4,2021-05-01,390
29-2_5-20,0.1961273,-0.098342314,-0.09373381,0.08449776,-0.1401096,-0.16104598,0.15760437,0.029837936,0.0006161928,-0.14615948,Agf29,29-2,2020-05-01,4,2021-05-01,330
40-0_5-20,0.23500842,-0.15903392,-0.17075013,0.09165132,-0.09236904,0.050968297,0.02785342,-0.13585205,-0.20266576,-0.033827916,Agf40,40-0,2020-05-01,2,2021-05-01,390
31-1_5-20,0.3549438,-0.087881155,-0.09677099,0.12554254,-0.10951942,0.010698076,0.05547885,-0.21136764,-0.1191054,-0.08650765,Agf31,31-1,2020-05-01,2,2021-05-01,360
37-2_7-20,0.26532453,-0.10373863,-0.10624831,0.12824653,-0.06515614,0.06320085,-0.03325305,-0.11727576,-0.3328355,0.033973202,Agf37,37-2,2020-07-01,4,2021-05-01,270
37-0_7-20,0.13088329,-0.13034022,-0.19595078,0.06807348,-0.04601922,0.15572341,-0.1817878,-0.18522595,-0.26758212,-0.04499804,Agf37,37-0,2020-07-01,4,2021-01-01,180
