ID,k__Bacteria_0;p__;c__;o__;f__;g__;s__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium_0;s__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales_0;f__;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__gordonii_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae_0;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__indistinctus_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7_0;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter_0;s__,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2_0;f__;g__;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__sciuri_0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_0;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales_0;f__;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__CandidatusArthromitus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium;s__methylpentosum_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]_0;g__;s__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum_0;s__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria_0;o__;f__;g__;s__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella_0;s__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila_0;s__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae_0;g__;s__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma_0;s__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila_0,Date,AgeMonths,Cage,MiceName,diff,DateEnd
14-0_5-20,-0.751747428254178,-0.0604852962631542,-0.103353599656347,1.008182935040038,-0.4444547302283463,-0.0826352689946818,-2.946084358423333,0.242101670363062,-0.7460380624778548,0.2305184517496801,0.5912196517882287,-1.000517090596521,-0.0657908728600251,0.2627213475746399,-0.4144878249860073,0.5573667799340162,-0.0491397380932583,0.3503840298368392,0.2048279666186093,-0.8073070200953146,-0.4345216679301749,0.2578686216496679,-0.4355490994081665,0.0485256112195191,-0.4561416611699173,0.1746953184439434,0.3195444186485364,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,0.715654965373663,0.2755859159090051,-0.1120897793759883,-0.8481642053960854,-1.2814590244197988,2020-05-01,4,Agf14,14-0,420,2021-07-01
14-0_7-20,-0.751747428254178,-0.0604852962631542,-0.103353599656347,1.28783956954957,-0.4444547302283463,-1.790205445092618,-1.389781857656046,-0.0501098602537304,-0.7460380624778548,-0.3366072650385583,0.3336787702133705,-1.000517090596521,-0.0657908728600251,-1.4854666794315603,-0.4144878249860073,0.2083104310224854,-0.0491397380932583,0.0618226747324561,0.1452831887595265,0.6240567440636727,-0.4345216679301749,-0.8447937202474799,-0.4355490994081665,0.1042808434751371,-0.4561416611699173,-0.0131027001449881,-0.2977555392361628,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,0.1216129460615486,0.5695540570854994,-0.1120897793759883,-0.8481642053960854,-2.772820718254072,2020-07-01,6,Agf14,14-0,360,2021-07-01
14-2_5-20,-0.751747428254178,-0.0604852962631542,-0.103353599656347,-0.0093414099434947,-0.4444547302283463,0.1688359472284752,-2.946084358423333,0.1451916573550058,0.8667457942418807,-0.0353191448606466,0.6778777090613801,0.9585243017245724,-0.0657908728600251,-0.5560477537172677,-0.4144878249860073,0.5793885185240414,-0.0491397380932583,0.1368873545852488,0.1992277022746111,-0.8073070200953146,-0.4345216679301749,-0.8447937202474799,-0.4355490994081665,0.1536856996529983,-0.4561416611699173,-0.0275805235136109,0.4482110277760796,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,-1.4911709106581867,-1.2157757779252676,-0.1120897793759883,-0.8481642053960854,-1.450601423520152,2020-05-01,4,Agf14,14-2,420,2021-07-01
14-2_7-20,-0.751747428254178,-0.0604852962631542,-0.103353599656347,-0.1041277293216956,-0.4444547302283463,-1.790205445092618,-1.623865063689414,-0.6007749096572367,-0.7460380624778548,-0.933023657397733,-0.4102583796391712,-1.000517090596521,-0.0657908728600251,-1.4854666794315603,-0.4144878249860073,-0.49565429686523,-0.0491397380932583,-1.1853319401486706,-1.0295335441227145,-0.8073070200953146,-0.4345216679301749,0.3593262624084449,-0.4355490994081665,-0.7936079498309987,-0.4561416611699173,-0.8441900257164303,-1.1428535792504195,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,-1.4911709106581867,-1.2157757779252676,-0.1120897793759883,-0.8481642053960854,-2.772820718254072,2020-07-01,6,Agf14,14-2,360,2021-07-01
15-0_5-20,-0.751747428254178,-0.0604852962631542,-0.103353599656347,-1.716911586041431,-0.4444547302283463,-1.790205445092618,-2.946084358423333,-1.4458729496714935,-0.7460380624778548,-1.7428893209585832,-2.655771047453321,-1.000517090596521,-0.0657908728600251,-1.4854666794315603,-0.4144878249860073,-1.3440054942772086,-0.0491397380932583,-1.1853319401486706,-1.281004760345872,-0.8073070200953146,-0.4345216679301749,-0.8447937202474799,-0.4355490994081665,-1.0744345594066929,-0.4561416611699173,-1.3213112804360927,-1.1428535792504195,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,-1.4911709106581867,-1.2157757779252676,-0.1120897793759883,-0.8481642053960854,-2.772820718254072,2020-05-01,4,Agf15,15-0,420,2021-07-01
15-0_7-20,-0.751747428254178,-0.0604852962631542,-0.103353599656347,1.3441637375883606,-0.4444547302283463,0.8019713123032485,-1.7419643757674084,0.6856655199618833,1.0392917725329125,0.4187508808979023,0.4414862622400985,0.9817541424430472,2.1131860744331443,1.0277509206363784,1.7027834706697569,0.1844375654809096,-0.0491397380932583,0.5999978948620965,0.6608572867978084,0.6240567440636727,-0.4345216679301749,0.7115087805198074,0.8866701953257528,0.5084548512707503,-0.4561416611699173,0.4396135679730402,0.3756603606274679,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,0.4678704816629067,-1.2157757779252676,-0.1120897793759883,-0.8481642053960854,-1.2814590244197988,2020-07-01,6,Agf15,15-0,360,2021-07-01
15-1_5-20,-0.751747428254178,1.2617339984707652,0.938039085501878,1.256678037385826,-0.4444547302283463,0.5918115974822501,-1.4547226645890603,0.7568877377217065,1.2130033298432388,0.5792046181728194,-0.3862581032354049,0.8190268449453475,-0.0657908728600251,0.7006417003816449,1.967529217588861,0.2034777274248794,-0.0491397380932583,0.256624897507741,0.725838655843313,0.4714465808575143,-0.4345216679301749,0.4023608946336467,1.2720210766897695,0.5663178318089137,1.2066161705116567,0.4616388528293195,0.2885101849085677,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,0.5131504631244559,0.5695540570854994,-0.1120897793759883,-0.8481642053960854,-1.160036861534336,2020-05-01,4,Agf15,15-1,420,2021-07-01
15-1_7-20,-0.751747428254178,-0.0604852962631542,-0.103353599656347,1.1032898734442091,-0.4444547302283463,0.6883610505012251,-1.238514182325397,0.6519047848677897,0.8667457942418807,0.437566743499548,-0.8362271119114525,0.7848127444142459,-0.0657908728600251,0.6318046162242038,1.5898335487966353,0.2392231188808106,-0.0491397380932583,0.6231041141394408,0.6826904965033502,0.8459054936800291,-0.4345216679301749,1.0725367058590738,1.2720210766897695,0.771227133486039,0.9588316868009008,0.7094233365400757,0.656486970203162,0.8026820003242565,-0.0709304056306248,-0.1408151103119889,0.2163992654397495,0.788545595857375,-0.1120897793759883,-0.8481642053960854,-0.8643356993754217,2020-07-01,6,Agf15,15-1,360,2021-07-01
16-1_5-20,-0.751747428254178,-0.0604852962631542,-0.103353599656347,-0.1041277293216956,-0.4444547302283463,-0.4679861503586989,-2.946084358423333,-0.8048948923131614,-0.7460380624778548,-1.2200105756782456,-0.6104480686666638,-1.000517090596521,-0.0657908728600251,-1.4854666794315603,1.293082351111929,-0.9437857193102726,-0.0491397380932583,-1.1853319401486706,-0.4687469426680894,-0.8073070200953146,-0.4345216679301749,-0.8447937202474799,-0.4355490994081665,-0.2645688958458427,-0.4561416611699173,-0.5431600300524492,-1.1428535792504195,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,-1.4911709106581867,0.1064435168086517,-0.1120897793759883,-0.8481642053960854,-2.772820718254072,2020-05-01,4,Agf16,16-1,420,2021-07-01
16-1_7-20,-0.751747428254178,1.647084879834782,-0.103353599656347,1.158728350962737,-0.4444547302283463,0.823636376783451,-1.904691673265108,0.2541814359567453,1.1052202862412206,0.4611484011644879,0.5912196517882287,1.163835765187916,-0.0657908728600251,0.7475294309605934,2.5154417350985803,0.4954229317290569,-0.0491397380932583,0.3906252486150867,0.6695318990625847,0.7608947039716804,-0.4345216679301749,0.4415130185957949,1.4729359194704832,0.5752542475580504,1.5028997311511765,0.4002245517986674,0.3485081145838531,0.8026820003242565,-0.0709304056306248,-0.1408151103119889,0.5131504631244559,0.6354825707938077,-0.1120897793759883,-0.8481642053960854,-2.772820718254072,2020-07-01,6,Agf16,16-1,360,2021-07-01
