ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,DateEnd,Cage,MiceName,diff
14-1_5-20,0.092585444,-0.16385975,-0.12534727,-0.39497286,0.24518918,0.01923889,0.045247957,-0.26045007,-0.107043065,0.04040587,2020-05-01,4,2021-05-01,Agf14,14-1,390
14-1_7-20,0.22909386,-0.10372284,-0.2808132,-0.28056848,0.35232085,-0.035411254,0.20824859,-0.34620035,-0.070110895,-0.059143595,2020-07-01,6,2021-05-01,Agf14,14-1,330
16-0_7-20,0.17099378,-0.24696346,-0.15047447,-0.32275036,0.28631735,-0.12566735,0.007618636,-0.34957302,-0.14283827,0.05913803,2020-07-01,6,2021-05-01,Agf16,16-0,270
19-0_5-20,0.18676385,0.1730473,0.01646848,-0.24896851,-0.047447667,0.07830683,-0.024212569,-0.09753002,-0.09787787,0.10264473,2020-05-01,6,2020-09-01,Agf19,19-0,210
19-0_7-20,0.019561172,0.12781522,-0.35688323,-0.059282646,0.22909854,0.17869134,0.2886274,-0.21861462,-0.14664657,-0.12276843,2020-07-01,6,2020-09-01,Agf19,19-0,210
20-1_5-20,0.11417994,0.05122044,-0.24078928,-0.20120344,0.24759617,0.12822849,0.16226074,-0.16761842,-0.11719301,-0.05000397,2020-05-01,4,2020-01-01,Agf20,20-1,240
21-1_5-20,0.11593269,0.12728655,-0.21778858,-0.3346021,0.19570872,0.24691603,0.04619747,-0.14566953,-0.11082936,-0.08627859,2020-05-01,4,2021-04-01,Agf21,21-1,330
21-1_7-20,0.027136749,0.06819046,-0.27159464,-0.20251428,0.2981122,0.30478516,0.21277046,-0.08493968,-0.18356796,-0.12097513,2020-07-01,6,2021-04-01,Agf21,21-1,270
24-0_5-20,0.27701974,-0.23481664,-0.094298124,-0.40909618,0.41700983,-0.0036813319,-0.08447771,-0.24223812,-0.16577695,0.07032448,2020-05-01,4,2021-05-01,Agf24,24-0,390
24-0_7-20,0.13350071,-0.1362508,-0.20434,-0.08137789,0.17305923,-0.13146748,0.09829501,-0.2533486,-0.17234235,0.13875863,2020-07-01,6,2021-05-01,Agf24,24-0,330
24-2_5-20,0.21751261,-0.03210038,-0.25485796,-0.34236705,0.4806881,0.091204055,0.20232917,-0.19401449,-0.3438424,-0.20982039,2020-05-01,4,2021-05-01,Agf24,24-2,390
24-2_7-20,0.2582256,-0.07877569,-0.0441404,-0.19980556,0.11059104,-0.26229632,-0.021424055,-0.37041736,-0.107875414,0.16862556,2020-07-01,6,2021-05-01,Agf24,24-2,330
25-1_5-20,0.19012506,-0.0032885522,-0.14516696,-0.3715303,0.14790764,-0.022670701,0.008653425,-0.28337792,-0.04225935,0.048722684,2020-05-01,4,2021-05-01,Agf25,25-1,330
25-1_7-20,0.19154832,-0.102816,-0.032922998,-0.30028534,-0.11115368,-0.10327555,-0.027233899,-0.31019723,0.013175085,0.27019644,2020-07-01,6,2021-05-01,Agf25,25-1,270
26-1_5-20,0.020360699,-0.00990405,-0.17606103,0.00922972,0.14254726,0.05211082,0.2661168,-0.1004778,-0.31610027,-0.06369072,2020-05-01,4,2021-05-01,Agf26,26-1,390
26-1_7-20,0.18696721,-0.14736485,-0.1463276,-0.3680293,0.43661553,0.0040408075,0.06670897,-0.23114447,-0.21603277,-0.12914681,2020-07-01,6,2021-05-01,Agf26,26-1,330
29-2_5-20,0.14905892,0.085580185,-0.24917403,-0.07016,0.23880886,0.139513,0.3559436,-0.01343134,-0.35934556,-0.24459133,2020-05-01,4,2021-05-01,Agf29,29-2,330
30-0_5-20,0.061970163,0.24663146,-0.2997564,0.033188745,0.17154317,0.18540175,0.33417815,-0.06853427,-0.2340295,-0.18661779,2020-05-01,2,2021-05-01,Agf30,30-0,390
30-0_7-20,-0.010387693,0.14914404,-0.17729689,0.032331944,0.023642346,0.098473534,0.3148381,0.038668066,-0.35454956,-0.14221834,2020-07-01,4,2021-05-01,Agf30,30-0,330
30-2_5-20,0.018023256,0.30103955,-0.27227253,0.008993864,0.021735176,0.18706203,0.21218431,0.009095535,-0.2053494,-0.13921463,2020-05-01,2,2021-05-01,Agf30,30-2,390
30-2_7-20,0.124386415,0.1535606,-0.29715687,-0.07515821,0.17302674,0.010646999,0.14979173,-0.26290262,-0.14088517,-0.10590201,2020-07-01,4,2021-05-01,Agf30,30-2,330
31-1_5-20,0.15579301,-0.036016785,-0.2184234,-0.11814361,0.3199486,0.15367773,0.3243449,-0.14041217,-0.19466457,-0.11430688,2020-05-01,2,2021-05-01,Agf31,31-1,360
31-1_7-20,-0.02660726,0.39722684,-0.27346218,-0.04642065,0.05510415,0.26615226,0.3067444,0.07851423,-0.20930472,-0.27948517,2020-07-01,4,2021-05-01,Agf31,31-1,300
33-1_5-20,0.15938348,0.047934227,-0.22579345,-0.18327624,0.27019718,0.036420494,-0.0747042,-0.21667467,-0.18586247,0.008181348,2020-05-01,2,2021-07-01,Agf33,33-1,450
33-1_7-20,-0.009935863,0.17234083,-0.25675625,-0.119976595,0.09950208,0.27931318,0.3061595,-0.052604362,-0.2267025,-0.13720259,2020-07-01,4,2021-07-01,Agf33,33-1,390
34-0_5-20,0.046999022,0.06911137,-0.23376527,-0.22314991,0.20647767,0.25404456,0.27203006,-0.16083653,-0.19934486,-0.15205923,2020-05-01,2,2021-05-01,Agf34,34-0,330
34-0_7-20,0.07405306,0.26601845,-0.2637074,-0.11769752,0.05651328,0.041957453,-0.008967742,-0.20325199,-0.14429191,-0.10044207,2020-07-01,4,2021-05-01,Agf34,34-0,270
35-2_5-20,-0.0064979456,0.23155732,-0.18270256,-0.12007025,-0.026064113,0.075523354,0.14158003,-0.067897886,-0.15296382,-0.048061527,2020-05-01,2,2021-03-01,Agf35,35-2,300
35-2_7-20,0.15016982,0.10451206,-0.18803445,0.01755187,0.26340753,-0.04854034,0.09969795,-0.29392195,-0.18887864,-0.08684803,2020-07-01,,2021-03-01,Agf35,35-2,
36-2_5-20,0.23639858,-0.16421533,-0.21886818,-0.32499927,0.5486634,0.113471955,0.21329233,-0.27160588,-0.2350894,-0.12252519,2020-05-01,2,2021-07-01,Agf36,36-2,450
36-2_7-20,0.15985239,-0.032159768,-0.27052644,-0.07878238,0.31585628,0.43858373,0.37870714,0.010526955,-0.2852137,-0.15156853,2020-07-01,4,2021-07-01,Agf36,36-2,390
37-0_5-20,0.06734814,0.2631856,-0.23435433,-0.20715402,0.0059223026,0.09587284,0.07304936,-0.18319102,-0.07521626,-0.044819005,2020-05-01,2,2021-01-01,Agf37,37-0,240
37-0_7-20,0.18926443,0.08545211,-0.127004,-0.22149347,0.22630867,0.10813804,0.0009339005,-0.05899152,-0.2623955,-0.024404198,2020-07-01,4,2021-01-01,Agf37,37-0,180
37-2_5-20,0.08598833,0.1562008,-0.26828444,-0.1773568,0.21804777,0.31022084,0.18307209,-0.0588558,-0.1655573,-0.117462024,2020-05-01,2,2021-05-01,Agf37,37-2,330
37-2_7-20,0.21521267,-0.017101062,-0.14307514,-0.24586,0.35743934,0.21849911,0.17890593,-0.050589174,-0.31090975,-0.12936856,2020-07-01,4,2021-05-01,Agf37,37-2,270
38-0_5-20,0.08179605,-0.15346266,0.0020548552,-0.11808956,-0.051047385,-0.12442772,0.17464699,-0.050669223,-0.2616452,0.14961308,2020-05-01,2,2021-03-01,Agf38,38-0,300
38-0_7-20,0.07867306,0.10191963,-0.25801745,-0.16740187,0.2125358,0.09637047,0.2527482,-0.12197437,-0.17134991,-0.12390916,2020-07-01,4,2021-03-01,Agf38,38-0,240
40-0_5-20,0.10388833,-0.022668239,-0.26528594,-0.27500135,0.43097952,0.26555106,0.36077586,-0.09492628,-0.2440729,-0.22852892,2020-05-01,2,2021-05-01,Agf40,40-0,390
40-0_7-20,0.123289764,-0.15816389,-0.10358925,-0.22964203,0.26488477,-0.05298081,0.22894233,-0.05052583,-0.3279882,-0.05337757,2020-07-01,4,2021-05-01,Agf40,40-0,330
41-1_5-20,0.11039199,0.047993794,-0.23457253,-0.25388795,0.20859583,0.21819386,0.17816758,-0.17741649,-0.04805197,-0.012826428,2020-05-01,2,2021-06-01,Agf41,41-1,420
41-1_7-20,0.13118316,0.037739664,-0.111038566,-0.27373487,0.078050084,0.033161253,-0.058551595,-0.19885615,-0.035008475,0.08386871,2020-07-01,4,2021-06-01,Agf41,41-1,360
42-0_5-20,-0.012329329,0.22284794,-0.26944286,0.06298907,-0.015828267,0.20426458,0.36551514,-0.0022528023,-0.18154435,-0.07599893,2020-05-01,2,2020-07-01,Agf42,42-0,60
45-0_5-20,0.19150807,0.04280369,-0.1980338,-0.15790156,0.20284957,0.018575594,0.0677719,-0.27651614,-0.105460286,0.021260992,2020-05-01,2,2021-03-01,Agf45,45-0,300
45-0_7-20,0.09977856,0.14252435,-0.11244257,-0.27753857,-0.07856132,0.050900653,-0.02491863,-0.22024702,0.019306377,0.088267505,2020-07-01,4,2021-03-01,Agf45,45-0,240
45-1_5-20,0.12981844,0.117802136,-0.20299703,-0.2714994,0.27985287,0.27115664,0.17348224,-0.06902404,-0.21630697,-0.2193949,2020-05-01,2,2021-07-01,Agf45,45-1,450
46-1_5-20,-0.002358012,0.042105056,-0.28443813,-0.15389735,0.2938214,0.19589317,0.29576498,-0.1558019,-0.2386012,-0.18260294,2020-05-01,2,2021-07-01,Agf46,46-1,450
46-1_7-20,0.048261963,0.029865807,-0.17643611,-0.13919044,0.21470755,0.050694525,0.19726633,-0.24761614,-0.18828076,-0.058590487,2020-07-01,4,2021-07-01,Agf46,46-1,390
47-1_5-20,-0.0014518499,0.1651332,-0.1851125,-0.12267666,0.12463134,0.07735311,0.14730486,-0.14638463,-0.19094491,-0.07562564,2020-05-01,2,2021-05-01,Agf47,47-1,330
47-1_7-20,0.1472955,-0.169537,-0.28530702,-0.24068472,0.3899891,0.063971154,0.1874018,-0.26914614,-0.16756351,-0.06085185,2020-07-01,4,2021-05-01,Agf47,47-1,270
