ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,Cage,MiceName,diff,DateEnd
29-1_5-20,0.004797645,0.01883813,-0.15564896,0.03392844,-0.14364785,0.13889346,0.015922591,0.041290667,0.24244882,0.1748524,2020-05-01,4,Agf29,29-1,420,2021-07-01
41-0_7-20,0.21385662,-0.14733362,-0.120354675,-0.11642491,-0.08501738,0.18923782,0.109874316,0.097724766,0.015494943,0.16041943,2020-07-01,4,Agf41,41-0,420,2021-09-01
38-2_7-20,0.10488643,-0.29935315,-0.16972534,-0.08005169,0.089703,-0.033088416,0.04689028,-0.024887376,0.13997921,0.07365392,2020-07-01,4,Agf38,38-2,420,2021-09-01
32-1_7-20,0.044128183,-0.1959407,-0.08499199,0.0036533847,-0.032133795,0.035494298,0.079287514,0.022341065,0.24478571,0.06782646,2020-07-01,4,Agf32,32-1,420,2021-09-01
42-1_5-20,0.014103651,-0.023240704,-0.18850061,0.014509551,0.065639004,0.0015798509,-0.0008766139,0.06539682,0.19144389,0.13669066,2020-05-01,2,Agf42,42-1,480,2021-09-01
24-1_5-20,0.1545173,-0.08763915,-0.2413734,0.019301876,-0.17681795,0.2740009,0.026158798,-0.04086285,-0.010212328,0.24117962,2020-05-01,4,Agf24,24-1,420,2021-07-01
33-0_5-20,0.056079865,-0.15176873,-0.22771749,0.19456734,-0.13767481,0.112816006,-0.017059285,-0.038687944,0.03473018,0.17311737,2020-05-01,2,Agf33,33-0,480,2021-09-01
46-0_5-20,-0.0047014505,-0.02638951,-0.12182696,0.12279934,-0.05817408,-0.016805798,-0.005997431,0.027386695,0.12735914,0.20369309,2020-05-01,2,Agf46,46-0,480,2021-09-01
41-0_5-20,0.082289584,-0.1892831,-0.22142784,-0.013648216,-0.18097815,0.24769294,0.089795776,0.12107358,0.06730026,0.10323605,2020-05-01,2,Agf41,41-0,480,2021-09-01
35-1_5-20,0.10452235,-0.134169,-0.13064235,-0.307575,0.11891302,0.1022691,0.08509324,0.027042225,0.053882595,0.28010648,2020-05-01,2,Agf35,35-1,480,2021-09-01
31-2_7-20,0.18499517,-0.07030091,-0.0112923235,-0.0014254525,-0.033270426,0.12005294,0.047941595,0.14446747,0.15529068,0.017295122,2020-07-01,4,Agf31,31-2,420,2021-09-01
37-1_7-20,0.14106233,-0.29930177,-0.25337934,0.050312728,-0.091396086,-0.022840694,-0.061395343,-0.0942739,0.17961138,-0.07669963,2020-07-01,4,Agf37,37-1,420,2021-09-01
27-0_5-20,0.05846677,-0.06004059,-0.10815421,0.08787739,-0.21758121,0.21059503,-0.033714816,0.034797844,0.21933012,0.16340117,2020-05-01,4,Agf27,27-0,420,2021-07-01
30-1_5-20,0.062033307,-0.15515482,-0.15738727,0.0027136095,-0.15040258,0.2248136,0.03519972,-0.045556925,0.15009232,0.22232871,2020-05-01,2,Agf30,30-1,480,2021-09-01
34-1_7-20,0.1905882,-0.14135155,-0.15748073,-0.06713338,-0.106494926,0.33250904,0.16008675,0.05508793,0.02720686,0.26026607,2020-07-01,4,Agf34,34-1,420,2021-09-01
23-1_5-20,0.12759848,0.01394783,-0.11562362,0.010819726,-0.014138559,-0.056265876,0.024921749,0.0552864,0.107528016,0.17530909,2020-05-01,4,Agf23,23-1,420,2021-07-01
44-0_5-20,0.118233666,-0.124296695,-0.121764526,0.015555866,-0.17657596,0.15645576,0.01915914,0.040435653,0.1796377,0.11623277,2020-05-01,2,Agf44,44-0,480,2021-09-01
15-1_5-20,0.054127976,-0.16501328,-0.16792327,0.15706871,-0.017329147,0.09525539,0.061774448,0.021948248,0.03218907,0.14606616,2020-05-01,4,Agf15,15-1,420,2021-07-01
20-0_5-20,0.14141823,-0.07792203,0.06361736,0.098056346,-0.115600295,0.08434169,0.10836992,0.18207636,0.28336355,-0.002420336,2020-05-01,4,Agf20,20-0,420,2021-07-01
