ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,DateEnd,Cage,MiceName,diff
34-0_7-20,0.27202523,-0.20399833,0.10139997,-0.15809768,0.26354668,-0.0011033714,0.14604095,0.20995477,0.1948979,0.03113819,2020-07-01,4,2021-05-01,Agf34,34-0,270
36-2_7-20,-0.031498715,-0.19391629,-0.23668014,0.23260422,-0.10580384,0.23366582,0.14400366,0.1080983,0.038968686,0.13226837,2020-07-01,4,2021-07-01,Agf36,36-2,390
20-1_5-20,0.07633497,-0.19625679,-0.10191807,-0.0024308562,-0.034183525,0.121891536,0.046713687,0.073644936,0.10598926,0.16523308,2020-05-01,4,2020-01-01,Agf20,20-1,240
47-1_7-20,0.15597855,-0.0030953363,-0.14203249,0.02404648,-0.2709775,0.28646606,0.026155416,0.053274535,0.13561252,0.1915815,2020-07-01,4,2021-05-01,Agf47,47-1,270
41-1_7-20,0.08554024,-0.16790754,0.035446018,0.07142165,0.043362737,-0.10797925,0.06630227,0.19702658,0.2456725,-0.03329149,2020-07-01,4,2021-06-01,Agf41,41-1,360
24-2_5-20,0.108324856,0.12183129,-0.15404074,0.16691463,0.029855188,0.21743976,-0.021155354,0.03891843,0.22061028,0.12004643,2020-05-01,4,2021-05-01,Agf24,24-2,390
34-0_5-20,0.14821848,-0.029759198,-0.057178475,-0.086846665,0.024864035,0.19529234,0.10154513,0.06524591,0.048510984,0.32502812,2020-05-01,2,2021-05-01,Agf34,34-0,330
21-1_5-20,0.10273111,-0.1625913,-0.26726785,0.0038204566,-0.12097835,0.2091828,0.061025545,0.024566635,0.02156911,0.16699296,2020-05-01,4,2021-04-01,Agf21,21-1,330
41-1_5-20,0.16883722,-0.17168489,-0.10348238,-0.2005308,-0.044950753,0.14553559,0.12795272,0.020172842,0.121776894,0.11758886,2020-05-01,2,2021-06-01,Agf41,41-1,420
45-0_5-20,0.1761909,-0.022522401,-0.17875636,0.08864197,-0.07499361,0.27195853,-0.010771777,0.050212514,0.17123304,0.08805618,2020-05-01,2,2021-03-01,Agf45,45-0,300
24-0_5-20,0.2375415,0.075501196,-0.14697361,0.07985023,-0.02698713,0.3379405,0.03520254,0.04427017,0.1655231,0.1291166,2020-05-01,4,2021-05-01,Agf24,24-0,390
30-2_7-20,0.1755861,-0.123639345,0.023622036,-0.06239317,-0.09228115,0.10856557,0.11742354,0.11334436,0.25515005,0.08300097,2020-07-01,4,2021-05-01,Agf30,30-2,330
30-0_5-20,-0.06433591,-0.06480694,-0.122024685,0.004307188,-0.066499546,0.09831755,0.020792449,0.042941365,0.2773912,0.1616524,2020-05-01,2,2021-05-01,Agf30,30-0,390
33-1_7-20,0.12418707,-0.20440072,-0.2060228,-0.12553191,-0.21344662,0.12652263,0.0505237,-0.030305192,0.18613158,0.12441075,2020-07-01,4,2021-07-01,Agf33,33-1,390
35-2_7-20,-0.07428321,-0.17061676,-0.029598057,0.096263185,0.010921538,0.029010028,0.0625871,0.09028043,0.28162476,0.10518679,2020-07-01,,2021-03-01,Agf35,35-2,
45-0_7-20,0.112941116,-0.11150116,-0.07487651,-0.16979778,-0.05504249,0.18014927,0.10688048,0.12980972,0.18106158,0.15897074,2020-07-01,4,2021-03-01,Agf45,45-0,240
14-1_5-20,0.20767376,-0.0301268,-0.08826351,-0.23105268,0.2429206,0.054432124,0.15235832,0.20806798,0.03157425,0.18884791,2020-05-01,4,2021-05-01,Agf14,14-1,390
29-2_5-20,0.07746064,-0.029889978,-0.030603439,-0.019132327,-0.067462504,0.12727097,0.06382953,0.11133919,0.2533822,0.08570974,2020-05-01,4,2021-05-01,Agf29,29-2,330
40-0_5-20,0.119179726,-0.020262424,-0.13151588,-0.07123752,-0.13048498,0.27146524,0.05943211,0.03231991,0.19420601,0.22403333,2020-05-01,2,2021-05-01,Agf40,40-0,390
31-1_5-20,0.010088146,0.0015445724,-0.086411595,0.22189741,-0.1675519,0.20518823,0.037172824,0.06633492,0.18267779,0.16342743,2020-05-01,2,2021-05-01,Agf31,31-1,360
37-2_7-20,0.06083388,-0.19752884,-0.31250018,0.11960441,-0.11388015,0.26818168,0.03348324,-0.062065862,0.010999758,0.21862039,2020-07-01,4,2021-05-01,Agf37,37-2,270
37-0_7-20,0.10847065,-0.2538549,-0.16712993,0.033915922,0.12970208,0.043801248,-0.0009896345,-0.021714076,-0.038902763,0.12288512,2020-07-01,4,2021-01-01,Agf37,37-0,180
