ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,Cage,MiceName,diff,DateEnd
29-1_5-20,0.14226931,0.22886808,-0.14734437,-0.08099605,0.042422585,0.24465635,0.05673843,-0.06537598,0.050609455,0.27827415,2020-05-01,4,Agf29,29-1,420,2021-07-01
41-0_7-20,-0.001762582,0.40354395,0.02235233,0.09531905,0.19942202,0.34466127,0.09618266,0.24316965,-0.0058372766,0.29981244,2020-07-01,4,Agf41,41-0,420,2021-09-01
38-2_7-20,0.12668078,0.27336276,0.06018956,0.20230104,0.14028826,0.14113164,-0.03210625,0.1329514,-0.2315476,0.2790038,2020-07-01,4,Agf38,38-2,420,2021-09-01
32-1_7-20,0.022497768,0.47730288,0.07148809,0.06243017,0.19585918,0.20378157,-0.031630114,0.25597218,-0.062724516,0.22089288,2020-07-01,4,Agf32,32-1,420,2021-09-01
42-1_5-20,0.10104187,0.27379128,-0.008697651,-0.09374401,0.11188898,0.22446826,-0.02297547,0.037323948,-0.0034818575,0.36596206,2020-05-01,2,Agf42,42-1,480,2021-09-01
24-1_5-20,-0.014046991,0.36675438,-0.10043873,0.044305842,0.11850162,0.07819359,0.040632877,0.065170616,-0.05981254,0.26034036,2020-05-01,4,Agf24,24-1,420,2021-07-01
33-0_5-20,0.055437937,0.20591885,-0.20428601,-0.05876953,0.10277989,0.12350107,0.12145022,0.032883737,-0.016393632,0.26614425,2020-05-01,2,Agf33,33-0,480,2021-09-01
46-0_5-20,0.17382291,0.21772431,-0.12878034,-0.011072341,0.03623084,0.3120434,0.056747768,-0.07944721,-0.11279172,0.40616325,2020-05-01,2,Agf46,46-0,480,2021-09-01
41-0_5-20,-0.038504474,0.39471143,-0.015353069,0.016381184,0.23689663,0.25946686,0.121816695,0.2433805,-0.018991854,0.2704149,2020-05-01,2,Agf41,41-0,480,2021-09-01
35-1_5-20,0.06530738,0.4351796,-0.022723,0.067448616,0.18501936,0.1624095,-0.11036743,0.10039854,-0.018822841,0.32463312,2020-05-01,2,Agf35,35-1,480,2021-09-01
31-2_7-20,-0.10233346,0.44295472,0.119577,0.019000463,0.25219232,0.26792938,0.040916324,0.31384093,0.02174656,0.075737335,2020-07-01,4,Agf31,31-2,420,2021-09-01
37-1_7-20,0.12448506,0.1597201,-0.038169555,-0.0536573,0.2057943,0.15169066,0.0015904175,0.14940904,-0.22659156,0.35555616,2020-07-01,4,Agf37,37-1,420,2021-09-01
