ID,k__Bacteria_0;p__;c__;o__;f__;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales_0;f__;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae_0;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__indistinctus_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7_0;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter_0;s__,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2_0;f__;g__;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__sciuri_0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_0;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia_0;o__;f__;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales_0;f__;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__pullicaecorum_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium;s__methylpentosum_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]_0;g__;s__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum_0;s__,k__Bacteria;p__Proteobacteria_0;c__;o__;f__;g__;s__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella_0;s__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila_0;s__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae_0;g__;s__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma_0;s__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila_0,Cage,MiceName,Date,AgeMonths,DeathDate,diff
14-1_5-20,-0.7745061819052242,1.0133240456767736,-0.4097028513367983,-2.011118218234865,-3.249872323776829,0.0048647693634902,-0.9168337837847372,-0.0659611457528119,0.1988877009639096,0.4211656675043116,-0.0709363456779286,0.2482208300575573,-0.4727871980281479,-0.0734239732921923,0.1703436102302906,-0.0108343328210462,-0.2268727154611353,-0.6036726368405954,-0.1354884241232082,-0.6825101395029829,0.4353183767657125,1.0521621079672498,0.1011870760440726,0.411924965558715,-0.2788879421602577,-0.0258008959457258,-0.3426949831121858,-0.2077503138766183,-0.1175829121663499,-0.2047721970520778,0.1204779505427408,0.9638621053741998,-0.0862976069622377,-0.9913349400120222,-3.0283121666110606,Agf14,14-1,2020-05-01,4,2021-05-01,390
20-1_5-20,-0.7745061819052242,-1.668821030697058,-0.4097028513367983,-0.3035480421369293,-0.0028816245352794,-0.1004412775143757,-0.9168337837847372,-0.1309459822571106,-0.3346258875736465,0.6844071022788931,-0.0709363456779286,0.6664754255563984,-0.4727871980281479,-0.0734239732921923,-0.067639591629627,0.2026623424305441,0.2880371001479269,-0.6036726368405954,0.2690821634478425,0.9302737172167526,0.745688398683837,-0.4391995858670228,0.2880401649551993,0.506711284936916,-0.2788879421602577,0.1355835446958031,0.4589373631209806,0.9963696687793064,-0.1175829121663499,-0.2047721970520778,-0.0026772333251419,0.1688101044523549,-0.0862976069622377,-0.9913349400120222,0.3103434989676397,Agf20,20-1,2020-05-01,4,2020-01-01,240
21-1_5-20,0.7612097880802855,1.331613046782261,-0.4097028513367983,-0.1598598695157904,0.0437111897192874,0.0582604924365153,-0.9168337837847372,0.0600454075975345,0.1248046144953729,0.4776470234567598,-0.0709363456779286,0.3186489568220841,-0.4727871980281479,-0.0734239732921923,-0.1085993602117718,0.3745165485429708,0.2152426527617026,-0.6036726368405954,0.1485082322419926,1.5243157365288669,0.6176585850983953,-0.4391995858670228,0.450767462452899,-1.2008588911610203,-0.2788879421602577,-0.0926682390414237,0.3365309630280758,-0.2077503138766183,-0.1175829121663499,-0.2047721970520778,-0.0804368922379725,0.554160985816372,-0.0862976069622377,2.217106416426545,-0.2214541370922431,Agf21,21-1,2020-05-01,4,2021-04-01,330
24-0_5-20,0.2668865032530008,1.240199823514098,1.0816588424974745,0.1381008944205142,-0.0016537625867543,0.2262871827395516,0.790736392313199,0.0873090344716711,-3.01223284029414,0.0689831493929492,-0.0709363456779286,0.792288874407833,-0.4727871980281479,-0.0734239732921923,-0.3409446908492715,0.1583080662793071,0.6082945388335339,1.00911121987914,0.2419299174042277,0.9302737172167526,0.7978664103489086,-0.4391995858670228,0.2880401649551993,-1.2008588911610203,-0.2788879421602577,0.1580078570733223,0.194424201282762,-0.2077503138766183,-0.1175829121663499,-0.2047721970520778,0.1710343239851846,0.554160985816372,-0.0862976069622377,1.2541777278021278,-1.2429823316002937,Agf24,24-0,2020-05-01,4,2021-05-01,390
24-2_5-20,-0.7745061819052242,0.747819476641223,1.0816588424974745,0.4375881016702141,-0.2241569398754888,-0.2135256401604492,0.5745279100495354,0.1236763226490249,-1.6900135455602203,-0.0937441481047505,-0.0709363456779286,0.5759394286316516,-0.4727871980281479,-0.0734239732921923,-0.8955458581674226,-1.3330536275549656,-0.2571493957138991,-0.6036726368405954,-0.5504617720940261,-0.6825101395029829,0.3958098354820389,-0.4391995858670228,-0.9642058855179187,-1.2008588911610203,-0.2788879421602577,-0.4788142405138519,-1.2969374925515107,-0.2077503138766183,-0.1175829121663499,-0.2047721970520778,0.1204779505427408,-1.1534091902815644,-0.0862976069622377,1.4573713798930577,0.7506345613575562,Agf24,24-2,2020-05-01,4,2021-05-01,390
29-2_5-20,0.7612097880802855,-1.668821030697058,-0.4097028513367983,0.6027236036412036,0.1482413679536733,-0.1943821937544703,0.5745279100495354,-0.347160146080939,0.0762576298882566,-1.1351368332629757,-0.0709363456779286,-1.6030375186615178,-0.4727871980281479,-0.0734239732921923,-0.2904754547071744,-0.0108343328210462,-0.5790552335724978,1.1816571981701718,-1.249431776430045,-0.6825101395029829,-0.9264094592518805,-0.4391995858670228,-0.9642058855179187,-1.2008588911610203,-0.2788879421602577,-0.8680479772629598,-1.2969374925515107,-0.2077503138766183,-0.1175829121663499,-0.2047721970520778,0.1710343239851846,-1.1534091902815644,-0.0862976069622377,-0.9913349400120222,0.7932668613009484,Agf29,29-2,2020-05-01,4,2021-05-01,330
30-0_5-20,-0.7745061819052242,-1.668821030697058,1.0816588424974745,0.3524937616572787,0.6392051688732345,-0.128480057835941,-0.9168337837847372,0.2084270209465781,0.0600170573193752,-1.1351368332629757,-0.0709363456779286,-0.6736185929472251,-0.4727871980281479,-0.0734239732921923,-0.361233035592305,0.0531479778458279,-0.631443303032186,-0.6036726368405954,-0.4043337364157882,-0.6825101395029829,-0.9264094592518805,-0.4391995858670228,-0.6120233674065564,0.2905028026732523,-0.2788879421602577,-0.9809978991360816,-0.2555448073932856,0.8336423712816067,-0.1175829121663499,-0.2047721970520778,0.920413831798804,-1.1534091902815644,-0.0862976069622377,-0.9913349400120222,1.0968762175575364,Agf30,30-0,2020-05-01,2,2021-05-01,390
30-2_7-20,-0.7745061819052242,-1.668821030697058,-0.4097028513367983,0.2920778391856231,0.3719269002258385,0.1321938801668736,-0.9168337837847372,-0.251806038289581,0.3101932121118129,0.6501930017477915,-0.0709363456779286,0.2632498204226769,-0.4727871980281479,-0.0734239732921923,0.0564796463674923,0.7122693512316918,0.3055513477254326,-0.6036726368405954,0.6018265722890302,-0.6825101395029829,0.8444425523902637,-0.4391995858670228,0.5358246486659555,1.2321103997133855,-0.2788879421602577,0.4919467225061285,0.3158463641682247,-0.2077503138766183,-0.1175829121663499,-0.2047721970520778,0.3909698789572605,0.459374666438171,-0.0862976069622377,-0.9913349400120222,0.5683948630703854,Agf30,30-2,2020-07-01,4,2021-05-01,330
31-1_5-20,-0.7745061819052242,0.5380048453347916,-0.4097028513367983,0.2465603566343188,0.8155579948435401,0.3295627185005219,0.5745279100495354,0.0808682448844444,0.2492679329041403,0.7456767590178157,-0.0709363456779286,-0.3989175360055931,-0.4727871980281479,-0.0734239732921923,0.2122301555574861,0.1089032101014458,0.0383581615550831,-0.6036726368405954,-0.2080390912718199,-0.6825101395029829,0.2496817998038008,1.2683705902309137,-0.1430200029090734,0.9164124044947438,-0.2788879421602577,0.2402484405207469,-0.0664885711732367,-0.2077503138766183,-0.1175829121663499,1.4080116596676575,0.2163143054467337,0.891913788505093,-0.0862976069622377,-0.9913349400120222,1.0083566436890363,Agf31,31-1,2020-05-01,2,2021-05-01,360
33-1_7-20,1.3848604597284788,-1.668821030697058,-0.4097028513367983,0.8283598291393326,0.8695815269792306,0.301791726464711,-0.9168337837847372,0.1142655637698384,0.5985337544791314,0.823904559058118,-0.0709363456779286,-0.6736185929472251,-0.4727871980281479,-0.0734239732921923,0.2364957162322103,0.4753824267331457,0.1309595039067966,0.8876890569936773,-0.018982855051771,1.2765312528181108,-0.9264094592518805,-0.4391995858670228,0.2226092389295355,-1.2008588911610203,-0.2788879421602577,0.3027062624696387,0.2712642315154843,-0.2077503138766183,-0.1175829121663499,-0.2047721970520778,0.4449890420562449,0.9293761800348856,-0.0862976069622377,0.0500577451462028,1.054509094328269,Agf33,33-1,2020-07-01,4,2021-07-01,390
34-0_5-20,1.0339298723828871,-1.668821030697058,1.297867324761138,0.5341888982309584,0.8772648834146719,0.2689125139792445,1.262143163508432,0.3832048450201974,0.6288444730312346,-1.1351368332629757,-0.0709363456779286,0.6605985499265904,-0.4727871980281479,-0.0734239732921923,-0.0159122874160835,0.2026623424305441,-0.171999263907009,0.8113007111302226,0.31876994763695,1.2259748793756668,0.6863743974678551,-0.4391995858670228,0.1661278829770872,-1.2008588911610203,-0.2788879421602577,0.0719663714994904,-1.2969374925515107,-0.2077503138766183,-0.1175829121663499,-0.2047721970520778,1.1469960831177457,-1.1534091902815644,-0.0862976069622377,-0.9913349400120222,-3.0283121666110606,Agf34,34-0,2020-05-01,2,2021-05-01,330
34-0_7-20,1.096677426423274,-1.668821030697058,-0.4097028513367983,-0.1598598695157904,0.2746536128495465,-0.0959392211453986,-0.9168337837847372,-0.1402025475477943,-0.3123951144268939,0.3562248605712971,-0.0709363456779286,0.6170705693785373,-0.4727871980281479,-0.0734239732921923,-0.3253699341902416,-1.3330536275549656,-0.2731179034137724,-0.6036726368405954,0.2419299174042277,-0.6825101395029829,0.6646551477746188,-0.4391995858670228,0.0771867996403061,0.2905028026732523,-0.2788879421602577,-0.1852899136745898,0.2215764473263768,-0.2077503138766183,-0.1175829121663499,-0.2047721970520778,0.1710343239851846,-1.1534091902815644,-0.0862976069622377,0.6714228916695519,-3.0283121666110606,Agf34,34-0,2020-07-01,4,2021-05-01,270
35-2_7-20,0.9864186665039087,-1.668821030697058,1.297867324761138,0.4953868141700064,0.5934227589596781,-0.1205082025489892,-0.9168337837847372,0.4391243766511676,0.2621559552562393,-1.1351368332629757,-0.0709363456779286,0.8571082988302324,1.4356978208505018,1.248795321441727,-0.0048020379907713,-0.2916609423967405,-0.4641007178707987,-0.6036726368405954,0.4226660815056724,0.8088515543312897,0.4353183767657125,-0.4391995858670228,-0.348781932631975,-1.2008588911610203,-0.2788879421602577,-0.1214018959608635,-0.597967488215492,-0.2077503138766183,-0.1175829121663499,-0.2047721970520778,1.0638625323938573,-1.1534091902815644,-0.0862976069622377,-0.9913349400120222,0.6259606604866499,Agf35,35-2,2020-07-01,4,2021-03-01,240
36-2_7-20,-0.7745061819052242,1.1380369988217591,-0.4097028513367983,0.0342047605517916,0.1872437692712494,-0.0798198293693599,0.934424564934338,0.0618569519391631,0.1168122195938186,0.1870824614709437,-0.0709363456779286,-1.6030375186615178,1.4862541942929457,-0.0734239732921923,0.4979934449854322,0.998036090649594,0.466800949064935,-0.6036726368405954,1.5132467872973914,-0.6825101395029829,1.0692257353456696,1.4120587628520525,0.7538804092651727,1.462842034228628,2.2409400516154614,0.7324344202919915,0.7242518065184274,-0.2077503138766183,-0.1175829121663499,1.4080116596676575,0.5940099742389594,1.4040980116240935,-0.0862976069622377,2.177751417475001,0.1150149633809856,Agf36,36-2,2020-07-01,4,2021-07-01,390
37-0_7-20,0.872224204342199,1.1891142340223708,-0.4097028513367983,-0.3035480421369293,-0.0347637427237361,-0.0207323803780963,0.790736392313199,-0.3725158531774193,-0.2480567079038089,0.2798365147078424,-0.0709363456779286,0.4323922195230304,1.2347829780697883,-0.0734239732921923,-0.3654069695165243,0.0531479778458279,-0.3248808187682437,-0.6036726368405954,0.5214202352120991,-0.6825101395029829,0.2496817998038008,0.8830197088668965,0.0517822198662114,0.7581825011600731,-0.2788879421602577,-0.1334496721889577,0.3158463641682247,-0.2077503138766183,-0.1175829121663499,1.5027979790458583,-1.7880070683359088,-1.1534091902815644,-0.0862976069622377,2.2507092993575286,-1.4155283098913252,Agf37,37-0,2020-07-01,4,2021-01-01,180
37-2_7-20,0.2668865032530008,0.8639333482954397,-0.4097028513367983,0.3131642370628269,0.5113787505318337,-0.4701310595060037,1.0422076085363563,-0.1081309724093684,-0.244335224276049,0.2798365147078424,-0.0709363456779286,0.2326530528309076,1.3784711506909273,-0.0734239732921923,-0.5948714044650945,0.2026623424305441,0.0423099129508512,-0.6036726368405954,-1.249431776430045,0.9302737172167526,-0.9264094592518805,0.8830197088668965,0.2399140971380058,1.1435333825240903,1.8703311704951224,-0.0163695919373815,0.356275021223833,-0.2077503138766183,-0.1175829121663499,-0.2047721970520778,0.2573159104507484,0.3379525035527083,-0.0862976069622377,2.032328978185771,0.8236185120292068,Agf37,37-2,2020-07-01,4,2021-05-01,270
