Compound	18-1_5-20	18-2_5-20	20-0_5-20	20-1_5-20	21-1_5-20	21-2_5-20	22-0_5-20	22-1_5-20	23-0_5-20	23-1_5-20	23-2_5-20	24-0_5-20	24-1_5-20	24-2_5-20	25-0_5-20	27-0_5-20	28-0_5-20	29-0_5-20	29-1_5-20	29-2_5-20	30-0_5-20	30-1_5-20	30-1_7-20	30-2_7-20	31-1_5-20	31-2_5-20	31-2_7-20	32-0_5-20	32-0_7-20	32-1_7-20	32-2_5-20	33-0_5-20	33-0_7-20	33-1_7-20	34-0_5-20	34-0_7-20	34-1_7-20	35-0_7-20	35-1_5-20	35-2_7-20	36-2_7-20	37-0_7-20	37-1_7-20	37-2_7-20	38-2_5-20	38-2_7-20	39-0_7-20	40-0_5-20	40-1_5-20	40-2_5-20	40-2_7-20	41-0_5-20	41-0_7-20	41-1_5-20	41-1_7-20	42-1_5-20	42-1_7-20	43-0_5-20	43-0_7-20	43-1_7-20	44-0_5-20	44-1_7-20	45-0_5-20	45-0_7-20	45-2_7-20	46-0_5-20	46-0_7-20	47-1_7-20	14-0_5-20	14-1_5-20	14-2_5-20	15-1_5-20
303.2925@9.854003	920167.5151	49242852.51	55631165.68	680929.542	7940316.041	978508.5966	72854260.12	2002404.489	1312502.736	1830050.463	1247620.731	2771224.194	1550162.471	639032.5973	1518728.969	71437635.8	2976651.72	792670.0821	1049320.525	66420995.04	944480.1824	3814004.196	684897.7048	93373575.98	950522.9928	51974008.66	1855517.272	1167608.348	1616738.592	3490995.339	77250182.2	1	1652011.158	1779092.387	54496528.67	3022883.607	37135354.12	1	899152.3143	958338.6311	1	647665.7825	764563.6047	54418354.6	942493.4065	33268327.42	43067015.08	140580378.2	823437.1427	1767722.028	48377537.51	55003115.4	1956843.569	61241063.47	37757397.71	876983.3944	793173.5263	62917150.62	1818803.179	1530486.618	2306426.68	85102017.6	2100265.087	1723672.194	45872875.23	1581947.181	709773.9007	981543.0368	5858419.206	456481.2256	898839.4998	965110.7628
LysoPC(18:0)	24823221.13	19858316.68	11985585.08	12703079.99	5943284.448	3306015.367	4845049.586	9763283.547	8695948.707	13315589.83	7244707.437	16135355.18	7979450.672	11175778.53	3851780.338	14735748.42	6061359.581	7934357.654	5306716.326	6092162.527	6329753.995	9786672.557	2342978.037	4159613.348	3971911.37	21521331.46	4868486.801	5654978.075	4550056.408	8509588.864	9034084.642	8084779.521	4898555.652	19950893.18	10868631.78	9139513.871	6469922.499	10886953.76	5393880.019	12148198.07	11481700.56	10011105.78	7266806.197	8840116.796	17661750.46	8928807.028	35591514.79	6992926.932	6038538.553	9139450.521	6139160.683	5361729.477	5068832.289	7390599.68	6907948.995	6462303.154	2516037.51	7353720.943	7951221.061	10143161.1	6367894.484	12044281.53	6346611.052	14973104.06	5740699.069	9089106.202	9488785.413	7900754.486	7886490.44	10472191.15	5843211.18	10574213.31
1-Palmitoyllysophosphatidylcholine	19210210.61	21473648.52	18643611.25	16540001.16	14601952.94	8394977.338	8389928.004	11957827.76	15592857.5	16057890	16310526.31	25434581.14	13810746.82	24457625.35	13860337	22118910.66	18831923.12	9521470.695	6475319.733	8443191.467	6534611.338	12339315.24	8305174.21	8596738.55	6002728.556	18831126.89	15488563.39	13273789.82	4984654.223	14384572.4	14603248.53	17797262.34	5001387.651	20133044.28	12391006.12	14220560.56	12935056.32	21511040.88	11137561.02	14184785.51	21569852.87	16636250.76	8144129.098	13565228.37	17752821.52	12141892.76	32895251.34	14885001.18	12770502.87	18299767.71	13542746.36	12023203.44	11075741.87	14928915.19	15497218.9	5978810.275	6229608.201	9692698.869	14847780.99	13108224.95	10280627.58	17809380.53	20354564.24	13905410.51	11664490.85	9969280.804	8447851.243	12930009.51	20633525.37	16107005.86	9149630.171	10131819.89
102.0467@1.030999	12819147.61	19727461.66	9666800.249	4491578.134	8293789.495	6072377.287	9129320.165	6694959.975	13745185.11	6474094.529	5679647.646	7354980.062	6342710.218	9159833.857	12279598.04	7755250.761	5990234.29	4275969.109	6854157.914	7450604.233	29704867.14	2235090.783	33396486.61	33736944.94	2782910.344	4223366.448	16166253.05	4083022.254	8538078.522	17847850.52	7138007.566	4973837.695	10007879.58	21632783.89	13465551.66	13892472.03	10372188.54	18961490	9077181.664	12407885.99	22646770.56	21562348.73	8165925.642	5733342.361	11175608.11	9766268.424	19173999.98	9107262.266	5557636.32	3468974.969	15076142.49	10402457.08	16194762.78	7346252.228	8610699.436	3092853.355	6013660.531	10934242.94	3319250.313	5034091.47	8763404.37	22959008.44	13997821.69	22599397.89	15062313.06	3575203.67	40820145.81	36829538.92	11363232.81	9070803.997	4240009.304	17111109.82
331.3236@10.99799	1321895.774	22235476.72	27570077.75	1161168.573	5461553.715	1674112.443	40439028.42	2852437.806	1668698.637	2086030.759	2391643.623	2416435.406	1656501.409	1320361.915	1734833.769	37527217.81	2271399.433	1353785.745	1465197.791	74152757.14	1447867.348	2736628.177	1	43060269.11	1713624.998	23700727.37	1815223.801	1843015.789	1652990.497	4261896.125	39505494.93	83260910.54	1722203.268	1893675.892	27961239.89	2622624.808	19790462.6	36372581.82	1607153.169	1385626.504	1	1	1202685.501	27709743.11	1348110.198	17015851.36	17293817.09	90200994.25	1713065.638	1830212.837	23632779.8	27784944.06	2202975.47	33328383.28	16501559.06	1581219.257	1699199.717	30576204.57	2107020.617	2010136.442	2416383.484	42381285.14	2113225.07	1685373.599	25389171.82	2214787.724	1187070.345	1	3511249.297	1062728.764	1662079.547	1381030.738
378.2891@7.2789965	6886311.445	10141122.4	7622997.646	6392904.005	8205137.047	6460354.94	4497325.892	7090254.587	4320760.998	5731653.638	7105570.223	6695150.242	6652752.814	7070829.298	4663830.739	7908310.032	6635620.738	5077873.414	4650327.851	5346617.357	8517277.948	7695864.674	9264026.824	10124729.3	5480917.544	6983316.84	9079453.296	6704317.303	3609073.265	6116258.704	5168599.552	7372793.912	9478629.194	6439628.36	6133788.538	5727086.647	5550552.68	7399421.233	5296889.567	7511272.981	7898509.487	7281089.942	4089732.352	7319669.103	6219081.1	6355547.583	8427848.794	6236979.127	6019432.298	9704026.1	12069946.96	9219563.39	10225726.44	7322754.507	8196678.607	20180072.2	8764649.696	8183598.867	6051431.376	8536717.457	10032932.41	6835711.126	6523406.044	6843903.561	6434171.677	6316517.751	10596202.62	8344880.735	5474261.797	6281457.853	5265525.176	5287960.612
"2-Hydroxy-4-imino-2,5-cyclohexadienone"	7681480.677	22458745.37	7195432.621	6330706.144	3862643.231	4473036.19	4559094.871	5033826.285	2707723.51	4353761.657	4607756.347	4526746.228	5197563.326	4265401.153	1322909.555	7246279.384	4789806.686	6080110.025	2454463.02	5813102.836	5150917.491	7871155.441	12927903.51	13057641.48	4608989.339	8326784.175	5583111.741	2651815.55	5372253.679	5680210.641	4295712.469	4990206.201	17943313.57	5621738.826	4303619.206	2303900.531	5269946.92	5242977.776	3074341.503	4360614.428	3993014.832	5937651.547	5048446.214	8433657.484	3373065.727	2852463.509	21137948.06	4972500.205	3709843.764	5070694.758	18685735.3	14518197.38	11134041.27	8946177.796	6123703.496	5393730.471	8586067	6284401.83	3385494.16	5638539.14	12963482.51	7634329.371	3494212.7	15045774.11	3798662.216	5791585.81	24269078.59	10153410.01	4613163.517	3696396.276	6024353.513	1909329.944
Mesobilirubinogen	10168171.97	25804332.93	14795170.64	16995906.78	6988478.684	10875157.81	9312738.256	16645536.1	15521406.93	8077111.363	16957803.76	16681711.76	11493222.3	6971844.687	5323918.295	14015986.94	10772270.3	16045584.41	13653287.16	19459765.65	10279309.35	18535195.55	8040144.503	5180284.852	10108551.88	7254772.785	8607125.058	4762818.034	30458192.63	10473388.91	8158276.652	7352818.792	13643003.95	14901549.32	10044023.69	4985200.158	7834805.34	9221071.675	6710193.784	12053794.18	7960833.178	6627567.372	12320145.85	6997576.872	9487476.655	4130900.843	12546051.03	11631469.18	8503279.919	13370684.6	17109651.04	15196692.23	6860108.673	11526091.16	6120805.102	5839036.91	19691709.15	15035734.4	4817018.386	6345955.615	10769104.86	10370808.25	8621975.307	8575355.201	5092483.606	6631620.412	10074025.83	4501370.86	10230831.02	8706823.214	9855297.557	6894636.208
816.575@8.012004	305169.2347	274639.0031	14695549.81	1554219.676	535868.6906	126371.0086	526923.8661	852831.9726	12913484.45	15177901.49	17232969.68	3198442.241	224912.918	1703550.164	3361731.334	10684247.75	16651479.13	11534634.87	6235397.057	4273749.742	10466704.95	12243960.84	149850.0459	344153.8205	4014249.897	7648699.298	486068.1237	811840.0569	256597.0395	4203419.461	1073296.316	1616298.242	794670.9056	2554208.737	16401142.72	1026892.692	1135745.375	7604415.862	4985649.39	13997559.73	810578.2843	1095753.609	294150.9153	998594.1988	1894776.167	1936173.759	156590.9163	4587802.959	8710112.97	3991271.532	253494.8654	1073767.341	948564.9267	10823591.8	1320395.778	2633563.837	190605.9989	7912773.332	3928897.229	893877.7431	5117862.653	17210694.74	747732.6476	265046.874	420446.876	7048207.66	836179.9934	593735.9732	8743921.389	5046333.07	5270714.074	1410788.216
1-Linoleoylglycerophosphocholine	8148499.562	7749629.995	5961570.46	8925657.394	10783879.91	6442360.668	2825839.312	6327499.247	4780897.352	4206042.508	6313619.997	12615744.4	5489026.98	12896953.69	6638537.437	7379706.454	8985404.369	3958756.773	1752749.023	4778439.096	1986992.505	3515898.521	4252821.876	7644686.983	3334287.325	7261660.24	12813799.63	5728507.981	2420057.676	7172352.682	3729647.88	8282770.591	1862685.918	8633176.182	2666890.205	6606231.062	6329609.211	9523734.689	5974327.936	3955081.519	16336391.39	8664733.821	1980711.048	6610179.417	5775562.375	5434157.69	6826989.016	5153049.427	6128272.42	10546463.71	7814461.344	5646302.53	6086540.4	8530577.611	10009877.62	1340822.655	6011151.707	2739607.91	9704624.76	4820739.361	4036456.742	6973951.982	13632435.56	2400913.506	9737797.034	2614143.668	3294196.079	7167730.68	10663162.18	5758912.614	4051458.691	5810254.794
