Metabolite,Ridge_Coefficient,Direction,Interpretation
Phenyl_butyrate,-70.98269617922246,Negative,Risk Factor
26_Methyl_nigranoate_Esi_13_685008,67.4164000284386,Positive,Pro-Survival
Messagenin_Esi_13_442995,44.941598857794915,Positive,Pro-Survival
736_3474_10_580995,43.34529955467919,Positive,Pro-Survival
7_Oxostigmasterol,-42.996902574745704,Negative,Risk Factor
7_8_Dehydro_beta_micropteroxanthin,-38.19276864755365,Negative,Risk Factor
Messagenin,29.849259793275877,Positive,Pro-Survival
724_384_12_737991,28.93280056687384,Positive,Pro-Survival
287_2819_9_218,-28.012245288054203,Negative,Risk Factor
810_493_15_787997,-21.84098623028524,Negative,Risk Factor
434_3588_13_059006,-20.272956527301798,Negative,Risk Factor
654_3882_9_755999,19.491581493197998,Positive,Pro-Survival
4alpha_carboxy_4beta_methyl_zymosterol_Esi_13_890995,16.18000910196338,Positive,Pro-Survival
PPA_16_0_18_1_9Z__,-13.770406932819146,Negative,Risk Factor
663_484_13_387004,-13.118065462274274,Negative,Risk Factor
17_23_Epoxy_29_hydroxy_27_norlanost_8_ene_3_15_24_trione,13.030744364403532,Positive,Pro-Survival
525_4213_12_315992,12.445981565199261,Positive,Pro-Survival
Soraphen_O_Esi_8_202002,11.520728919548844,Positive,Pro-Survival
Empenthrin,7.977990102045567,Positive,Pro-Survival
Kinoprene_Esi_9_755996,-4.812325264575006,Negative,Risk Factor
613_2694_10_275003,-3.79539398736226,Negative,Risk Factor
7alpha_Hydroxytestololactone_1,-3.7383936486451432,Negative,Risk Factor
482_3089_12_840011,-3.4242124307458894,Negative,Risk Factor
Bioresmethrin,-2.811673613512909,Negative,Risk Factor
___7_epi_Jasmonic_Acid,-0.6724107904167056,Negative,Risk Factor
