LOCATE_Feature,Ridge_Coefficient,Direction,Interpretation
Z_3,-60.5501916507142,Negative,Risk Factor
Z_8,45.31979958056421,Positive,Pro-Survival
Z_4,41.83403370137174,Positive,Pro-Survival
Z_0,23.624684335846055,Positive,Pro-Survival
Z_2,23.105049009425993,Positive,Pro-Survival
Z_9,14.851262595035594,Positive,Pro-Survival
Z_7,-14.4679344601573,Negative,Risk Factor
Z_5,-12.040908607244967,Negative,Risk Factor
Z_6,10.971114768284536,Positive,Pro-Survival
Z_1,2.6596533590298796,Positive,Pro-Survival
